No,Komentar,Label,Hasil Klasifikasi,Kategori_Positif,Kategori_Netral,Kategori_Negatif,TP_Positif,FP_Positif,TN_Positif,FN_Positif,TP_Netral,FP_Netral,TN_Netral,FN_Netral,TP_Negatif,FP_Negatif,TN_Negatif,FN_Negatif
194,phm keluh top indomaret sat sedia transaksi bayar mengunakan scan qris indomaret terima pf,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
195,want sel kuota xl akrab sharing gb rewards gb sharing nya gb kuota gb lokal area gb harga al payment qris fastresp,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
196,qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
197,pre pesan merch bts monochrome harga tera foto bersih ina emscargo tac grup pesan testi spaylater scan qris jawa timur,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
198,ayo klok qris bayar,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
199,kemudi qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
200,beli tiket masuk ims surabaya danamon qris dbank pro diskon loh cek,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
201,sobat mohon maf kendala transaksi beli qris alami kece dinformasikan nomor lapor direct message,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
202,jajan pinjam uang mh ganti pas ambil uang beli bayar qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
203,suka belanja modal ayo langsung bayar qris danamon,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
204,malmingan bingung ajak gebetan mana ayo nonton konser ims infinite live beli tiket bundle promo spesial diskon ims surabaya danamon qris dbank pro ribu ribu beli tiket spot tiket box,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
205,pengunan qris metode transaksi biaya bayar merchant tingkat manfat qris sehinga biaya merchant diskon rate mdr kena,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
206,asalamualaikum setyomohon maf ketidaknyamanan dialamiapabila kait promo cashback transaksi qris bayar mc donalds tangal oktober minimal rp terima konfirmasi hubung bsi cal,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
207,al qris acount emailpasword go gren masuk mtht pesan direct message,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
208,cv scan qris fast,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
209,gaji bunds ayo cek permatame promo coba topup scan qris df,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
210,suka bayar virgo sat belanja alfamidi ayo masuk kembali belanja alfamidi virgo kupon cashback nila total rp transaksi qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
211,sobat transaksi qr aplikasi brimo pilih menu qris sat tarik tunai kartu mengunakan aplikasi brimo mesin atm,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
212,jam transaksi top ribu riwayat nya lau transaksi qris toko hasil kurang riwayat,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
213,informasi biaya laku merchant pemrosesan transaksi qris statis dinamis laku jenis merchant reguler usaha uke usaha tengah ume usaha ube kena biaya,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
214,benar beli bubur jagung abang sedia qris tunai dompet bayar stok uang koin nyebrang,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
215,minimal akun transaksi qris aman,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
216,iya sopir helpernya bayar qris dinamis ngeluarin tiket jugak pindah suroboyo bus,Positif,Netral,FN,FP,TN,,,,1,,1,,,,,1,
217,next udpate nya disembunyikanhilangkan sat bayar qris malue liat orang belakang,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
218,mohon maf ketidaknyamananya rony nasabahpenguna qris transaksi proses setlement transaksi qris proses setlement proses,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
219,bangun nameles medal bayar qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
220,buka cuman hari jam wib qris kecuali transaksi nya jumat tarik dana senin jam wib,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
221,selamat sore leader qris lambang modern sistem bayar digital indonesia usah lokal indonesia qris sunguh karunia alah paytren tutorial scan qr,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
222,bi luncur qris penyelengara qr code indonesia hubung berkat qris transaksi digital indonesia simpel mobile enjoy belanja kartu tinggal scan beres,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
223,dagang kota gilir bawa pulang bantu gerobak partai perindo bahagia gerobak perindo lengkap sistem bayar qris sehinga transaksi mudah aman,Positif,Netral,FN,FP,TN,,,,1,,1,,,,,1,
224,transaksi qris alamat,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
225,langgan bayar bayar qris nya masuk rekening langgan potong notif transaksi hasil,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
226,informasi tambah qris hati transaksi,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
227,brimo transaksi bayar takjil praktis fitur qris bayar zakat fitur donasi thr,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
228,qris bestie rangka dorong luas elektronifikasi transaksi pemda kabupaten purbalinga kpw bi purwokerto kolaborasi bakeuda hukum ekonomi pemkab purbalinga bank jawa pusat bank jawa cabang purbalinga,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
229,tuju bi luncur qr code standard indonesia qris idxchanel bank indonesia bi resmi luncur qr indonesia standard qris sistem bayar bas,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
230,dilewatin beli tiket bundle promo spesial diskon ims surabaya danamon qris dbank pro ribu ribu beli tiket spot tiket box hemat nonton langsung,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
231,tips bayar qris shopepay praktis aman pasti nama toko terima sesuai transaksi double cek kasir cek nominal bayar informasi lengkap geser kiri,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
232,transaksi aman qris bebasbayar bayar qris emoney linkaja emoney bank daftar klik,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
233,iya benar hemat neotizen belanja baju muslim bersih rumah laundry baju diskon hinga rp ribu bayar qris neobank ayo coba qris neobank,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
234,bayar transaksi qris gampang cashback tarik loh senin,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
235,qris static sulit merchant trace transaksi trace manual baca nomor trxnya qris dinamis mesin edc trx kartu debitc bijak terima qris beda provider kena charge,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
236,dear livin transaksi kopi kenang cambridge medan mengunakan qris livin status nya tunda kurang kopi kenang terima uang nya mohon bantuanya,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
237,al qris acount emailpasword go gren masuk mtht random pesan direct message,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
238,coban bayar kartu debit gagal qris blu,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
239,sedia deposit qris payment bulantogel transaksi mudah qris payment scan barcode qris deposit langsung proses hitung detik,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
240,qris penghargan internasional kait fitur transaksi negara,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
241,sobatblu ngopi ayo spesial payday hemat beli minum favorit fore cofe tinggal bayar qris blu cashback juli,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
242,om simpel mudah rumit bayar qris daerah tinggal om medan,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
243,nes parkir park bayar tunai qris parkir mal nya terima,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
244,bayangin bayar tol qris kartu antre kayak mes kerja cepat ntahlah paham teknologi handphone solusi konon reader mesin tap cepat,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
245,gelar isef box bi singung digitalisasi uang pasca pandemik covid gara pandemik transaksi uang mudah qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
246,pengunan zakat sedekah lazismu diy sedia fasilitas bayar mengunakan qris bayar scan barcode qris tulis nama lazismu diy perhati bayar,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
247,lapor transaksi qris sebit,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
248,qris minim transaksi mnding warung,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
249,hinga september dagang mengunakan qris livin transaksi bayar evi martiani vice president vp bank mandiri area yogyakarta,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
250,likes cherished gabut banget bawain stock qr decoration bungkus prici available qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
251,kali tolak transaksi qris gerai,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
252,rasa bisa qris biar kecatet historynya habis transaksi mana nyocokin recapan bulan,Positif,Negatif,FN,TN,FP,,,,1,,,1,,,1,,
253,bismilah ayo lengkapin infaq qris sisa rp link doku shopepay yatim dhuafa muslim minoritas konfirmasi klik,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
254,zie nya,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
255,bluebird bayar qris gopayaja,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
256,kemarin bayar qris luv mecima nomor rumit,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
257,buka senin close sebentar gagal transaksi gara qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
258,tj kartu emoney lainlain kayak krl mrt gotransitnya gojek aplikasi mrt bayar tiket qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
259,kahitna konser ims infinite liveada diskon tiket bundle masuk ims surabaya bayar qris dbank pro beli tiket spot ges,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
260,transaksi qris papua tembus rp,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
261,indomaret bayar qris shope kah,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
262,maf kendala pengunan qris merchant sila kakak konfirmasi merchantnya merchantnya fitur bayar qris mobile banking menu qris moga informasi bantu terima yuna,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
263,sat set ora rumit fotokopi bayar qris nomor pungli,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
264,hidup jakarta mal gede banget cashles brp tokorestoran terima cashles payment metode bayar qris langsung bayar,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
265,kuota periode program laku khusus transaksi saku qris merchant saku qris promo laku periode program mei terima tata,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
266,bayar parkir remaja jompo jarang banget pegang tunai butuh tukang parkir qris nya,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
267,maf kendala keluh transaksi qris mobile banking kakak alami mimin cek terus unit kait kakak informasi detail direct message,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
268,tanggal nov transaksi bayar qris seabank scan kurang masuk rek toko tolong cek,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
269,oi cek turnitin fast respons bayar qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
270,bi banten sosialisasi qris cfd kota cilegon,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
271,jastag bayar qris aplikasi premium jam malam,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
272,motsku pinjam scan qris biar tarik uang langsung balikin,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
273,helo cashback dbank pro qris transaction agustus kuota program transaksi merchant transaksi masingmasing merchant lewat kuota oleh cashback terima euis,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
274,bayarbayar mah dbank pro aplikasi mobile banking lengkap banget fitur nya fitur qris topup ewalet gampang,Positif,Netral,FN,FP,TN,,,,1,,1,,,,,1,
275,upaya selaras inovasi aman transaksi bank indonesia salah satu edukasi literasi kait aman transaksi qris masyarakat pedagangmerchant,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
276,helo informasi fitur qris danamon sat transaksi negeri terima euis,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
277,belanja mudah transaksi kontak tangan nobu qris scan qr code kamera handphonemu qr code galeri handphonemu langsung bayar belanjanmu terima bayar aplikasi uang elektronik apa,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
278,ayo sedekah subuh pesantren rupiah bahagia adik santri scan kode qris mudah sedekah rekening donasi bsi peduli yatim,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
279,mantap bayar parkir qris,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
280,transaksi danamon qris dbank pro harga tiket konser ims infinite live concert ribu ribu,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
281,tehe event genshin neo soho bayar nya qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
282,bismilah ayo lengkap infaq subuh qris sisa rp link doku shopepay yatimduafa muslim minoritas konfirmasi klik,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
283,selamat sore eko dinfo keluh direct message kait kendala transaksi qris sat kembali lapor tutup terima carla,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
284,belanja daring shoping bayar qr bayar merchantoutletoko milik qr berbasisberlogo qris quick respons code indonesian standard inti bayar qr code mengunakan qr bayar,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
285,pesan butuh garansi percaya bayar qris fast respons orders klik,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
286,angkot bayar parkir motor habis makan mi ayam pede banget rebu caricari alhasil kang mi ayam uang tf qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
287,ide boros bank mandiri bayar qris motong langsung kartu kredit,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
288,sedia deposit qris payment bulantogel transaksi mudah qris payment scan barcode qris deposit langsung proses hitung detik,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
289,wta limit transaksi qris dab terima,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
290,sore sabtu bayar qris ganguan masuk terima,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
291,cashbacknya benar habishabis tinggal beli paket qris unlimited aplikasi gojek harga rp loh transaksi qris hemat syarat tentu laku cek informasi lengkap,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
292,bank indonesia potong biaya transaksi qris belibm,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
293,saran bakso kampus qris rek uner bm banget,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
294,habis beli somay senayan pagi qris ngakak lihat struknya somay qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
295,wekend bingung mana pas banget ims infinite live lumayan ketu rizki febian beli tiket promo spesial diskon ims surabaya transaksi danamon qris dbank pro ribu ribu beli tiket nya spot tiket box,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
296,umkm qris brarti lapor keuanganya tata ayo aplikasi akuntansi peluang,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
297,dapat diskon ribu transaksi minimal ribu senin rabu promo laku maret tunai kartu debit qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
298,tunai king dibrp daerah non tunai gesek kena charge nilai transaksi suruh qris biar kena alam brp daerah,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
299,inovatif banget ajak halway space bikin heboh digital pasar kosambi livin pasar bikin transaksi enteng banget dagang enjoy qris livin merchant,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
300,wakil presiden armand hartono ceo vincent iswara cmo linkaja edward kili suwignyo sepakat hadir qris dalam penetrasi uang digital masyarakat lengkap,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
301,dapat pack bejo sujamer fre ongkos kirim harga scan barcode qris layar kaca program kontes kdi malam jam mnctv lupa siap gadgetmu,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
302,jackpot banget maen macem promo merchant bayar qris danamon cashback huhu ayo cek nya,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
303,covid transaksi qris meningkattajam,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
304,rizki febrian ims infinite live concert diskon tiket bundle masuk ims surabaya transaksi danamon qris dbank pro ribu ribu beli tiket ots tiket box ayo berangkat,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
305,informasi penguna shopepay transaksi mudah bayar qris shopepay jamin transaksi praktis hemat cashback jumbo loh informasi cek,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
306,minimal kemarin bayar tagih first media qris transaksi gagal coba cek mutasi debit kurang bayar alfamidi mohon bantu minimal,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
307,transaksi qris papua tembus rp,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
308,loh hatrick case top kartu tol transaksi hasil nambah bayar qris mutasi rekening nongol dagang uang masuk bayar telpon pasca bayar debet,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
309,belanja mudah transaksi kontak tangan nobu qris scan qr code kamera handphonemu qr code galeri handphonemu langsung bayar belanjanmu,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
310,foto ktp ifoa bayar qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
311,transaksi qris gagal sado kurang hari solusi,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
312,qris scan asane,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
313,yaudahlah besok nonton bayar qris aja,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
314,minimal transaksi qris mingu mei hinga jumat mei masuk rekening bukti transaksi kotak masuk qris bsi mobile hilang pie iki,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
315,nilai transaksi quick respons indonesian standard qris tunjuk naik penguna tembus rp triliun,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
316,merchant qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
317,biar coba permata scan qris barcodr qris beda mohon tunjuk suhu pamer coba permata terima df,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
318,pilih oke enak tur iso bayar go qris,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
319,sobat terima antusias promo bank promo laku transaksi mengunakan kartu debit mastercard brimo sila nikmat promo mengunakan fitur qris brimo,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
320,kosongin drive zen clearance sale layout genshin hsr wuwa bawah mari jajan qris available direct message,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
321,al qris acount emailpasword go gren masuk mtht random pesan direct message,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
322,want sel kuota xl akrab sharing gb rewards gb kuota fix gb lokal area gb aktif harga sisa al payment qris fastresp,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
323,warga surabaya wajib banget tiket masuk ims surabaya bayar rupiah periode mei juni qris dbank pro pasti informasi lengkap,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
324,iya bilang qris bank bayar langsung,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
325,keren banget kahitna konser ims infinite live diskon loh tiket bundle masuk ims surabaya syarat gampang bayar qris dbank pro ribu ribu beli tiket spot tiket box ayo gaskeun gaes,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
326,im done kemarin cnya debit hh belanja uniqlo potong saldo transaksi qris temu horor,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
327,want sel lfb ina photocard bts armyzone festa rm jin jhope taehyung jungkok pict bersih est ems tax kpc claim direct message shopepay qris go line malang jawa timur pict cto,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
328,kaji opsi skema bagi beban biaya transaksi tetap mitra bukalapak mengunakan kode,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
329,kenal akun transaksi qris langgan joki kena tipu joki ml sbelum joki,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
330,mba newi,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
331,judi daring qris kamrusamad bank indonesia tangung,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
332,bank indonesia bi bebas tarif quick respons code indonesian standard qris transaksi rp ribu,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
333,ayo tukar poin powermu linkaja pakai beli pulsa bayar tagih hinga transaksi merchant qris cek informasi lengkap taut pede langgan layan linkaja live chat,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
334,df chatime harga normal milk tea reg scan qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
335,bayar halte tugas cashqrisgopay cuman halte tugas bayar kenek bus langsung,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
336,enga jogjasolo krlnya murah ngegrab promo grabhemat solo bst bayar qris,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
337,cari netflix hari bayar qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
338,ahaha numpang digital cardnya user dulunya transaksi jago qris debit card nya oke pakai fitur shared pocketnya cocok banget pasutri biar transparan,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
339,dorong implementasi qris ekosistem didik,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
340,maf bingung transaksi nya aplikasi mcd langsung store bayar scan qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
341,indomar qris bayar,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
342,emoney qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
343,qris merchantoko koneksi beli baju sadar dompet ketingalan pas bayar qris tolak,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
344,rekening tuju transaksi bayar belanja scan qris mobile dmention twiter whatsap hubung aplikasi halobca hira,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
345,handphone qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
346,bukti bohong hati transaksi nominal qris,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
347,ketemu dagang bayar qris kena tambah rupiah gp bu mesti bayar tunai mulu,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
348,spo premium bayar qris balas cepat,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
349,transaksi nontunai mengunakan qris bantu umkm kelas ketua kadin,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
350,tambah diskon cf perfumery qris minimal transaksi idr jt hinga,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
351,kedu nna,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
352,minimal coba bayar qris gagal minimal uang minimal riwayat transaksi minimal sukses tepotong nya minimal,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
353,one time password langsung yu disney shar basic shar premium fulgar testi bery al walet qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
354,telkomsel bapuk sinyal bikin skck loading nya banget jajan qris error enak mbak nya antre,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
355,selamat sore mohon maf butuh detail transaksi bayar tera tangal kode rnnomor referensi bayar mengunakan qris kece bukti bayar,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
356,bonus hari member fyp minimal deposit id game deposit pulsa ewalet bank transaksi cepat praktis qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
357,gilir gabawa tunai beli bayar qris hadeh,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
358,coba scan qris nya indomaret scan barcode,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
359,minimal qris bank sblmnya transaksi masuk pelanganya potong lapor tindaklanjutnya ujung nya masuk,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
360,qris jasa akun bisnis cv mudah korban transfer transfer akun bisnis mnya obviously korbanya pikir akun bisnis kerja mnya transfer,Positif,Negatif,FN,TN,FP,,,,1,,,1,,,1,,
361,buset rizki febrian cuy ims infinite live diskon tiket bundle masuk ims surabaya banvet transaksi danamon qris dbank pro ribu ribu beli tiket spot tiket box gas banget mah,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
362,kahitna rizky febian konser ims infinite live ayo nonton bareng teman diskon tiket bundle promo danamon qris dbank pro,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
363,benar transaksi mengunakan qris beban biaya merchant raka,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
364,god fod god mod diskon ribu jumat minimum transaksi rp juta qris mobilemybcasakuku kartu kredit card platinum everyday card jcb black union bayar lengkap,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
365,kota bogor bayar pajak qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
366,sobat kartu kredit milik corporate card cobranding card traveloka paylater kartu emas gadai btn gold btn paltinum tokopedia card jadi sumber transaksi qris brimo sila aktif,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
367,jarang bawa tunai mana makan tinggal bayar qris untung dbank pro mobile fitur nya beli token listriktopup ewalet buka reksadana,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
368,ayo hidup cashles qris quick respons code indonesian standard transaksi mudah mengunakan aplikasi spin smart payment indonesia bayar digital lai beli produk langsung iklan tv,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
369,bi blokir qris indikasi transaksi judi daring,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
370,qris diskon minimal bayar pajak lumayan banget,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
371,januari bayar qr code indonesia wajib mengunakan qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
372,qris nila jt merchant konfirmasi masuk terpotongdi mutasi hasil notifikasi status transaksi minimal solusi uang jt,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
373,qris edc atm transaksi aman,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
374,kakak berat transaksi bayar qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
375,kere nderku prokes viral kemarin hadir cashback ayo langsung kunjung merchant favorit laku transaksi mengunakan qris seabank,Positif,Netral,FN,FP,TN,,,,1,,1,,,,,1,
376,dpr bi evaluasi qris transaksi judi daring,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
377,transaksi qris periode libur lebaran topang utama naik asal transaksi merchant,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
378,kecangihan teknologi inovasi mudah transaksi rasa imam darto siar radio komedian aktor tulis skenario presenter bagi cerita qris bikin bayar praktis sat bayar zakat,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
379,asalamualaikum sahabat mandiri syariah bayar mudah banget tinggal scan qris mandiri syariah bayar mudah insyaalah,Positif,Netral,FN,FP,TN,,,,1,,1,,,,,1,
380,kabar penguna akun januari merchant sistem qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
381,topup shopepay mobile banking bayar qris bisa bayar shopepay situ gedeg topup lebih nol bangsat bayar oke sial nglirik njawab asu,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
382,transaksi mudah qris kb bukopin kb bukopin baik banget,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
383,cushion bayar qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
384,banget alas transaksi qris unggul tunggu transaksi qris finpay money,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
385,konsep bayar bayar oake qris gimane niat bayar tunai qris mending bayar bayar pusing pusing astagfirulah,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
