Komentar,Preprocessed Text,Logistic Regression,Lexicon-Based
waw dapet cashback 100% dari Danamon untuk transaksi F&amp B dengan QRIS D-Bank PRO pas jalan-jalan liat mobil di IIMS Surabaya?! cuss gaes cek di sini https://t.co/FTLbxMoL9I https://t.co/9dFWYKlxya,waw dapet transaksi pro pas liat mobil surabaya cus cek,neutral,positive
"jalan jalan ke IIMS Surabaya dapet Cashback 100% transaksi F&amp B pake Danamon QRIS D-Bank PRO, buruan ajak pacar atau keluarga kalian di sini! https://t.co/VjiE5FQAzy https://t.co/PEeqZwb5A5",jalan surabaya dapet transaksi pake pro buru ajak keluarga,neutral,positive
"asli sih ini makin makin promonya di IIMS nanti, ada cashback 100% untuk transaksi di F&amp B dengan QRIS D-Bank PRO https://t.co/L0trpzPi1b https://t.co/QqeWRhdZoC",asli transaksi pro,positive,positive
Jalan ke IIMS Surabaya dapet Cashback 100% transaksi F&amp B pake Danamon QRIS D-Bank PRO loooo! Yuk buruannnn ges ajak family atau si doi kesini! https://t.co/lxlM7Sp506 https://t.co/jCbkl456fe,jalan surabaya dapet transaksi pake pro buru ajak doi,neutral,positive
Eh liat deh katanya kalo kita ke IIMS Surabaya dapet Cashback 100% transaksi F&amp B pake Danamon QRIS D-Bank PRO loh!! Gilak boleh nih sambil ngedate ama ayang😚 https://t.co/rKA2mvQDPE https://t.co/vvddMRFQMc,liat surabaya dapet transaksi pake pro gilak,positive,positive
"Udah siap buat ikutan #GOPAYPAYDAY bulan ini?  Jangan lupa buat beli paket voucher QRIS UNLIMITED di aplikasi Gojek-mu, biar bisa dapet CASHBACK gak habis-habis tiap transaksi di QRIS pakai GoPay. https://t.co/0OrZgFRDcz",ikut lupa beli paket voucher aplikasi dapet transaksi,neutral,positive
@SeaBankID min kok saya transaksi pake qris di chigo gadapet cashback 50% sih?,transaksi pake,neutral,positive
"@AllRiseBluee namun belum menerima mandiri kartu debit, Bpk/Ibu tetap dapat melakukan transaksi dengan mudah yaitu belanja offline via QRIS, belanja online via Debit Virtual dan (4)",terima mandiri kartu debit transaksi mudah belanja via belanja online via debit,neutral,positive
"lumayan bangett nih bisa dapet cashback sampe 100% lohh untuk transaksi f&amp b pakai QRIS D-Bank PRO, jangan sampe ketinggalan ya soalnya cuma dari tanggal 31 mei - 4 juni ajaa https://t.co/0iuE80ujnD https://t.co/P42lmJPgwc",lumayan banget dapet sampe transaksi pro sampe mei juni,positive,positive
"@NoAbsen13 @ulasbrand Bukan ke situnya doang sih. Aplikasi bank mesti relog pas mau transaksi, kayak misal pake qris gitu. Si aplikasinya bisa scan qrisnya tau2 minta relog gara2 sebelumnya belom di swipe buat close app sepenuhnya. Kadang kurang covenient aja jadinya.",doang aplikasi bank mesti pas transaksi pake gara bom ap sepenuh kadang,negative,positive
"Jalan- jalan ke IIMS Surabaya dapet Cashback 100% hingga 75rb untuk transaksi F&amp B pake Danamon QRIS D-Bank PRO, lumayan banget buat jajan hehe https://t.co/WiBeFSiruT https://t.co/m36kTqVIIV",jalan surabaya dapet transaksi pake pro lumayan banget jajan,positive,positive
"@theloeyry Allo Kak :) Mimin bantu jawab ya, Point Allo Bank bisa dipakai untuk transaksi QRIS di merchant CT Corp seperti Transmart, Wendys, dll atau pembayaran Mega Finance pada Aplikasi Allo Bank. -EK.",point bank pakai transaksi dl bayar mega aplikasi bank ek,neutral,positive
Jangan lupa pake qris rekening blu by bcadigital ada cashback 50% setiap transaksi diatas 10rb @A_GitaJKT48 #GiTalk,lupa pake rekening transaksi atas,neutral,positive
"@masadi_sp  Bpk/Ibu tetap dapat melakukan transaksi dengan mudah yaitu belanja offline via QRIS, belanja online via Debit Virtual dan tarik tunai tanpa kartu melalui Livin dan fitur Livin lainnya dgn cara klik https://t.co/OxWn6O0fzZ. (2)",transaksi mudah belanja via belanja online via debit tunai kartu fitur klik,neutral,positive
"/pamer yg punya krdv coba dicekada voc diskon 20k untuk transaksi qris ga? lumayan bgt itu aku dah dapet. terus cek bagian misi, selesaiin misinya guys ! maaf gabisa ss karna not allowed :(",coba diskon transaksi lumayan dapet cek misi gabisa karna,neutral,positive
@discountfess Ka transaksi qris dmna?,transaksi dmna,neutral,positive
"@Doowijaya Hai Kak @Doowijaya, maaf sudah buat Kakak nggak nyaman. Sesuai informasi mimin melalui DM, untuk pengaduan Kakak mengenai kendala transaksi QRIS, mohon menunggu sampai dengan tanggal 08 Juni 2023 ya. TKs -Cempaka-",kakak nyaman sesuai informasi kakak kendala transaksi juni,neutral,positive
"Sampe tanggal 31 Mei, semua transaksi pakai QRIS jadi +1k yaa!",sampe mei transaksi,neutral,positive
"@SeaBankID Fitur QRIS min. Sangat mempermudah transaksi, efisiensi sistem pembayaran, transaksi cepat, dan tidak perlu lagi repot bawa uang tunai. 🙋",fitur transaksi efisiensi sistem bayar transaksi cepat repot bawa uang tunai,negative,positive
"@SeaBankID Fitur QRIS! Karena mempermudah transaksi,  bisa langsung bayar lewat aplikasi... 🧡✨️",fitur transaksi bayar aplikasi,neutral,positive
Kuota pembagian ya bosku jadi pastikan baca deskripsi dan sudah faham sebelum order !!   Pembayaran via QRIS jika transaksi di whatsapp 🔥 Aturan nya dana masuk langsung proses Jangan coba² beri struk palsu ya bosku !!  Mari kita saling amanah #zonauangᅠᅠᅠ #zonajajanᅠᅠ #tri,kuota bagi bos pasti baca faham order bayar via transaksi atur proses coba palsu bos mari amanah,neutral,positive
"@fidssar maaf numpang tanya, itu maksudnya minimal transaksi kah? kalo belon verif ktp bisa pake qris?",numpang maksud minimal transaksi ktp pake,neutral,positive
Pedagang Pasar Tamin Bandar Lampung Mulai Gunakan QRIS untuk Transaksi   https://t.co/Z6HMb5zUlj lewat @tribunlampung_,dagang pasar bandar lampung transaksi,neutral,positive
"Bayar pake QRIS BTN ,, saldo berkurang tapi transaksi Gagal🤨… dicek ulang mutasinya,, ga ada transaksi n saldo udah berkurang… @bankbtn",bayar pake kurang transaksi gagal cek ulang transaksi kurang,negative,positive
@FirzhaBestari @BANKBRI_ID di desa aja bisa transaksi pake qris,desa transaksi pake,neutral,positive
"Gunakan QRIS, Cara UMKM Raja Mendoan Kraksaan Permudah Transaksi Pembayaran: Kemajuan teknologi menuntut para pelaku usaha untuk beralih pada dunia digital. Kesempatan itu tak mau dilewatkan oleh UMKM Raja… #beritabaik #indonesiapositif #jurnalismepositif https://t.co/bPB01PgwFC",umkm raja transaksi bayar maju teknologi tuntut laku usaha alih dunia digital sempat umkm raja,neutral,positive
QRIS juga membawa kemudahan dan keamanan yang signifikan dalam transaksi digital #arsjadradjid #asean Ketua Kadin #inklusifkolaboratif https://t.co/fXR35n4ELD,bawa mudah aman signifikan transaksi digital ketua kadin,neutral,positive
"Tumbuh 200%, Nilai Transaksi QRIS CIMB Niaga Tembus Rp3 Triliun https://t.co/1cKGXO55Nf",tumbuh nilai transaksi niaga tembus rp triliun,neutral,neutral
Sambal Tempoyak Maugi Terapkan Pembayaran QRIS BRI untuk Mudahkan Transaksi   https://t.co/Vo2rrslbtv via @tribunnews,terap bayar mudah transaksi via,neutral,neutral
"aku sangat tidak berkenan kalo ada yg pake qris atau nomerku buat transaksi tanpa konfirmasi dulu, gamau resiko dijadiin perantara aneh aneh",kenan pake transaksi gamau aneh,negative,positive
@imamfz__ @i_m_mortal_ Top up ewallet ada biaya adminnya jdi skip aja cuma transaksi qris aja kak😩,top up biaya transaksi,positive,positive
"idup lebih mudah dengan bawa kartu debit bca contactless &amp  ternyata di KL juga udah bisa transaksi QRIS , w kali yg baru tau wkwk👍 https://t.co/7E17Uh6ndb",idup mudah bawa kartu debit transaksi,neutral,positive
"@SeaBankID Fitur Qris, yang bikin transaksi jadi lebih mudah, ga cuma itu, banyak promonya juga. 😃",fitur transaksi mudah,positive,positive
@SeaBankID Min untuk transaksi menggunakan QRIS boleh dimana aja kah??,transaksi mana,positive,positive
"@Andinidizhwar Dengan senang hati Mimin bantu informasikan, untuk transaksi QRIS SeaBank bisa dilakukan di merchant yang menyediakan fasilitas pembayaran dengan barcode QRIS"" berlogo GPN. ^BN""",senang hati transaksi sedia fasilitas bayar barcode,positive,positive
@litlepotat00 @discountfess maaf kak aku masih bingung... ini nanti transaksi nya lewat apk mcd / dateng langsung ke store terus bayar pakai scan qris gopay??,bingung transaksi apk mcd bayar,neutral,positive
"📍Proses Via Login   📍LEGAL 100% anti minus - minus club! 📍Mendapatkan invoice google play pada setiap transaksi  📍Pengerjaan tergantung antrian (5 - 60 menit) 📍Payment bisa melalui semua E - Wallet, TF Bank dan juga QRIS",proses via anti minus play transaksi gantung antri menit tf bank,neutral,positive
"@bankmandiri saya melakukan transaksi qris dengan seratus pembayaran tertunda. Mohon dikembalikan saldo saya kembali, karena saya jadi melakukan pembayaran 2 kali. Detail nya sudah saya DM",transaksi bayar bayar detail,neutral,positive
Hari ini aku bayar di spbu pakai qris mandiri transaksi tertunda tapi saldo terpotong sampai 2x transaksi begitu juga  Bagai mana ini @bankmandiri @mandiricare,bayar spbu mandiri transaksi transaksi,neutral,positive
"guys ini qris lagi error kah? td aku lg beli makanan tiba tiba bilang transaksi gagal""""",eror td beli makan transaksi gagal,negative,positive
"@yoouurbeestiiee Engga tuh Kak, aku td transaksi qris bisa dan lancar jaya. Mau transaksi apa dah Kak?",td transaksi lancar jaya transaksi,positive,positive
"@mandiricare halo, saya melakukan transaksi QRIS tapi statusnya tertunda dgn kondisi saldo udah terpotong. tolong solusinya karena tlp CS tidak ada yg angkat dan email tidak ada respon.",transaksi kondisi tolong solusi cs respon,neutral,positive
"Halo @mandiricare ini saya habis transaksi qris di alfamart, gagal di alfanya jadi akhirnya tunai, tpi udah kepotong di mutasi, mau refund gmn ya?",habis transaksi alfamart gagal tunai tpi potong,neutral,positive
"Gimana gak galau IIMS Infinite Live, ada diskon 50% tiket bundle masuk IIMS Surabaya juga! Transaksi pake Danamon QRIS D-Bank PRO dari 100rb jadi 50rb beli tiketnya on the spot di tiket box, bisa traktir temen galau bareng https://t.co/uchmxf5GsM https://t.co/OsLRz6nHDG",galau diskon tiket surabaya transaksi pake pro beli tiket tiket temen galau bareng,positive,positive
"Wah, gw pengen ketemu sama Kak Rizki Febrian di IIMS Infinite Live. Eh, btw lagi ada diskon 50% tiket bundle masuk IIMS Surabaya juga loh. Transaksi pake Danamon QRIS D-Bank PRO dari 100rb jadi 50rb beli tiketnya on the spot di tiket box. Keren banget nih https://t.co/5f5mLbXbwV https://t.co/6jD9S6YCtc",ken ketemu diskon tiket surabaya transaksi pake pro beli tiket tiket keren banget,positive,positive
Tumbuhnya transaksi QRIS CIMB Niaga karena nasabah lebih suka bayar nontunai.  https://t.co/BtYFMs8fpy,tumbuh transaksi niaga suka bayar,positive,positive
"Yakin nih ga galau IIMS Infinite Live, ada diskon 50% tiket bundle masuk IIMS Surabaya juga! Transaksi pake Danamon QRIS D-Bank PRO dari 100rb jadi 50rb beli tiketnya on the spot di tiket box, bisa traktir temen galau bareng https://t.co/LrgzChgzdS https://t.co/9D8wL7bcgD",galau diskon tiket surabaya transaksi pake pro beli tiket tiket temen galau bareng,positive,positive
"kapan lagi Danamon dapet cashback 100% tiap transaksi F&amp B pake Qris D-Bank PRO,  info lebih lanjutnya disini ya https://t.co/FdHMZyvqV2 https://t.co/Mjarn8zWQT",dapet transaksi pake pro info,neutral,positive
"Halo halo perhatian semuanyaa, ada diskon 50% tiket bundle masuk IIMS Surabaya juga! Transaksi pake Danamon QRIS D-Bank PRO dari 100rb jadi 50rb beli tiketnya on the spot di tiket box, bisa traktir temen galau bareng https://t.co/latS6E5YOV https://t.co/dFMreOad2P",perhati diskon tiket surabaya transaksi pake pro beli tiket tiket temen galau bareng,positive,positive
Daripada galau pas weekend mending ke IIMS Infinite Live ada diskon 50% tiket bundle masuk IIMS Surabaya juga! Transaksi pake Danamon QRIS D-Bank PRO dari 100rb jadi 50rb beli tiketnya on the spot di tiket box https://t.co/0PDHHePUC5 https://t.co/y2zrOPwD2A,galau pas mending diskon tiket surabaya transaksi pake pro beli tiket tiket,positive,positive
"Ayo gaes buruan mampir ke IIMS Surabaya dapet Cashback 100% transaksi F&amp B pake Danamon QRIS D-Bank PRO, minggu depan ajak pacar nge-date deh! https://t.co/latS6E5YOV https://t.co/bVUaymvaFR",ayo buru surabaya dapet transaksi pake pro ajak,neutral,positive
Siapa ni yang kepengen banget ketemu Mas Rizki Febrian di IIMS Infinite Live? Nih ada diskon 50% tiket bundle masuk IIMS Surabaya! Kalau transaksi pake Danamon QRIS D-Bank PRO dari 100rb bisa jadi 50rb aja loh! Beli tiket on the spot pastinya di tiket box https://t.co/rCx7DLPnju https://t.co/Nb6hPCS24A,ken banget ketemu diskon tiket surabaya transaksi pake pro beli tiket pasti tiket,positive,positive
Liat Mas Rizki Febrian di IIMS Infinite Live ada diskon 50% tiket bundle masuk IIMS Surabaya juga! Transaksi pake Danamon QRIS D-Bank PRO dari 100rb jadi 50rb beli tiketnya on the spot di tiket box https://t.co/TPbzXk5YBc https://t.co/vqMRQO25Df,liat diskon tiket surabaya transaksi pake pro beli tiket tiket,positive,positive
"Eh kalau main ke IIMS Surabaya kalian bakal dapat Cashback 100% transaksi F&amp B Danamon QRIS D-Bank PRO, ya bisa buat malmingan yang jomblo siapa tau ketemu jodoh disana https://t.co/kaAldgfPmt https://t.co/8gr86SUDaZ",main surabaya transaksi pro ketemu sana,positive,positive
"galau banget soalnya IIMS Infinite Live, ada diskon 50% tiket bundle masuk IIMS Surabaya juga! Transaksi pake Danamon QRIS https://t.co/DVU2WLtfTU https://t.co/roYcIkSitQ",galau banget diskon tiket surabaya transaksi pake,positive,positive
"Pergi ke IIMS Surabaya dapet Cashback 100% transaksi F&amp B pake Danamon QRIS D-Bank PRO, minggu depan ajak mama nge-date deh! https://t.co/TPbzXk5YBc https://t.co/1Hx5ypV6vj",pergi surabaya dapet transaksi pake pro ajak mama,neutral,positive
"coba deh jalan ke IIMS Surabaya, nanti dapet Cashback 100% transaksi F&amp B pake Danamon QRIS D-Bank PRO https://t.co/DVU2WLtfTU https://t.co/GLL20UWs0e",coba jalan surabaya dapet transaksi pake pro,positive,positive
ayoo gaess nonton Mas Rizki Febrian di IIMS Infinite Live ada diskon 50% tiket bundle masuk IIMS Surabaya juga! Transaksi pake Danamon QRIS D-Bank PRO dari 100rb jadi 50rb beli tiketnya di tempat https://t.co/zdNG6LhIwb https://t.co/d9voAGku7p,ayo nonton diskon tiket surabaya transaksi pake pro beli tiket,positive,positive
@linebankid itu dia kak jd gabisa transaksi pake debit 😔  (hemat admin 🙏🏻) bisa qris siee tp yaudah lah https://t.co/YvRXyMYLbH,gabisa transaksi pake debit hemat admin yaudah,neutral,positive
terus pas acara IIMS itu bisa jajan sepuas nya tanpa khwatir karena ada cashback 100% setiap transaksi pakai qris https://t.co/qLNdv83kPe https://t.co/Yx69YdP0AB,pas acara jajan transaksi,positive,positive
"lagi cek transaksi habis makan di IIMS Surabaya yakaann kok saldo Danamon ga berkurang, kenapa? ternyata ada promo Cashback 100% transaksi F&amp B  pakai QRIS D-Bank PRO kan jadinya mau jajan terus wkwkw https://t.co/JP9klOhznV",cek transaksi habis makan surabaya kurang promo transaksi pro jajan,positive,positive
Biar dapet Cashback 100% transaksi F&amp B di IIMS Surabaya bayarnya nanti pake Danamon QRIS D-Bank PRO https://t.co/2xZ7Y5RpWA have a great time there https://t.co/vskdfQJmqG,dapet transaksi surabaya bayar pake pro time there,positive,positive
Di IIMS Infinite Live concert nanti uda punya planing mau liat liat mobil di IIMS Surabaya karena ada diskon 50% tiket bundle masuk IIMS Surabaya juga! Transaksi pake Danamon QRIS D-Bank PRO dari 100rb jadi 50rb beli tiketnya on the spot di tiket box https://t.co/9kI72s06Yw https://t.co/Vwy8ftNFsg,uda liat mobil surabaya diskon tiket surabaya transaksi pake pro beli tiket tiket,positive,positive
"Kakak besok ngajakin jalan ke IIMS Surabaya malah tanggal tua belum gajian.kebetulan Untung ada Danamon, jadi transaksi buat makan di sana langsung dapet Cashback 100% pake QRIS D-Bank PRO,keren banget Kepoin link nya https://t.co/JTmjN2V1M6 https://t.co/arL2zoK6Tf",kakak besok jalan surabaya tua untung transaksi makan dapet pake banget link,positive,positive
Bantu jawab dong :(  Biar qris spay bisa bayar via spaylater itu harus digunain transaksi terus apa didaftarin ya? TIA  #zonauang #zonaba,bayar via transaksi,neutral,positive
@bankmandiri proses pengembalian dananya lama juga yah makximal 30hari minimal 1 hari pdhl ngedebetnya ontime 😂 please @mandiricare tolong donk diperbaiki layanannya  Hari ini sy transaksi dg qris di spbu pembayaran tertunda tapi dana terpotong,proses dana minimal pdhl tolong baik transaksi spbu bayar,negative,positive
"Selain penyerahan CSR, bankjatim juga memberikan beberapa penghargaan kepada para nasabah setianya. Penghargaan yang diberikan antara lain sebagai nasabah tabungan dan deposan tertinggi, nasabah Jatim Prioritas, serta nasabah transaksi terbanyak menggunakan JConnect dan QRIS",serah tabung jatim prioritas transaksi,neutral,positive
"@IksanJana Udah kelar belum bang ?  Sama saya juga lagi masalah sama ni aplikasi , transaksi QRIS bisa2 nya kepending 1 harian , malah di suruh nunggu dari 1x24 jam - jadi 5 hari 😀 , di suruh nunggu di tlp dari pihak ovo , yg ada malah gw yg nlp tapi tetep gak dapet solusi dan kejelasan",kelar bang aplikasi transaksi hari suruh jam suruh tetep dapet solusi jelas,negative,positive
"kuy download aplikasi BRImo agar mudah transaksi, dg fitur Donasi mempermudah bayar Zakat, tranfer THR. Melakukan transaksi: bayar takjil makin praktis dg QRIS, Setor Tunai, Streaming kajian lancar top up paket data, bayar tiket mudik KAI dll #SemuaPakeBRImo #BeRiTenangBiarMenang",download aplikasi mudah transaksi fitur bayar transaksi bayar praktis tunai kaji lancar top up paket data bayar tiket mudik kai dl,positive,positive
"Langkah pertama, penguatan halal value chain melalui akselerasi proses sertifikasi halal. Kedua, peluncuran gerakan 10.000 transaksi ZISWAF menggunakan QRIS. Ketiga, penerapan halal lifestyle pada sektor prioritas halal food, fashion, serta pariwisata ramah muslim. #BInfo",langkah kuat halal proses halal gera transaksi terap halal sektor prioritas halal pariwisata ramah muslim,neutral,positive
"@CIMBNiaga min mau tanya, transaksi ritel itu cakupan nya apa aja yaa? Apakah transaksi di qris untuk pembayaran termasuk ritel juga? https://t.co/itdi1aRGGw",transaksi transaksi bayar,neutral,positive
@_abidin_abidin_ Selamat malam Bapak James. Untuk transaksi Scan QRIS tentu termasuk transaksi retail ya. Terima kasih - Dika,selamat malam transaksi transaksi retail terima,neutral,positive
"Nyecan qris pake gopay Transaksi pertama sukses, cepet ngescannya  Yang kedua ini, astaga naga, lama! Scanner kyk ga ngebaca, ada kali 5 menit, malu banget mana yg ngantri lumayan,  Akhirnya scan dari bca ga ada semenit  lanjay, gw kira kalo udah keluar qr dari gopay gabisa ganti https://t.co/3wmIQTdCGQ",pake transaksi sukses cepet naga kyk menit malu banget ngantri lumayan qr gabisa ganti,negative,positive
CIMB Niaga: Transaksi QRIS di Kuartal I Tembus Rp 3 Triliun https://t.co/iTRn3mbuGb https://t.co/nlbXojpw0E,niaga transaksi kuartal tembus rp triliun,neutral,neutral
"@IksanJana wah kacau ya , skrg malah lebih rumit ini , status di aplikasi saya transaksi QRIS udh berhasil dapet email juga kalo transaksi berhasil tapi uang ke merchant belum masuk2 @ojkindonesia tengok lah ini mafia2 perbankan ..  @YLKI_ID",kacau rumit status aplikasi transaksi udh hasil dapet transaksi hasil uang tengok mafia,negative,positive
"@huntokarx Hi Kak, saat kamu melakukan transaksi dengan QRIS nantinya akan muncul pilihan mengubah kantong mana yang akan kamu gunakan untuk pembayaran tersebut Kak.",sat transaksi muncul pilih kantong bayar,neutral,positive
"@Dennysiregar7 @DivHumas_Polri Sepertinya ditempat itu sudah ada  EDC atau QRIS, mungkin juga sudah ada daftar transaksi berkala auto debit dari RAT",daftar transaksi kala auto debit,neutral,positive
"@thorneverdie Bpk/Ibu tetap dapat melakukan transaksi dengan mudah yaitu belanja offline via QRIS, belanja online via Debit Virtual dan tarik tunai tanpa kartu melalui Livin' dan fitur Livin' lainnya dgn cara klik https://t.co/kBTEjD7Oyr. (2)",transaksi mudah belanja via belanja online via debit tunai kartu fitur klik,neutral,positive
"@raiseapt Sambil nunggu kartu fisik dateng transaksi pake livin bisa kok kak, skrg online store / offline store nyediain payment via QRIS lebih simpel. Dan soal kartu biasanya max 7hari udh nyampe, coba lacak aja pengiriman kartunya uda sampe mana lewat app livin. Semoga ngebantu",kartu fisik transaksi pake online nyediain via simpel kartu max udh nyampe coba kirim uda sampe ap moga,neutral,positive
"Perbanyak transaksi dengan QRIS BNI Mobile Banking! Raih GRAND PRIZE 1 Unit Vespa Piaggio dan hadiah lainnya 4 Unit Iphone X, 3 Unit Samsung Galaxy Note 9, 2 Psc TapCash Saldo Rp 2 Juta dan 300 Pcs Rp 500 Ribu. Program ini berlaku hingga 31 Juli 2023. Info lebih lengkap kamu bisa… https://t.co/amkNAXg250",banyak transaksi mobile raih unit hadiah unit unit rp juta rp ribu program laku juli info lengkap,neutral,positive
"Pengingat bagi #SobatRupiah yg punya hobi jajan, selalu cek lagi ya, apakah nama merchant yg ada di QRIS sudah sesuai dgn tujuan transaksi dan profil usaha merchant.  Biar transaksi semakin nyaman, yuk #BeriMakna cek tips aman pakai QRIS👉 https://t.co/2UhwAEewY6 https://t.co/S5B1dUQHLc",hobi jajan cek nama sesuai tuju transaksi profil usaha transaksi nyaman cek tips aman,neutral,positive
"yuk cari BOOMnya dan dapetin BONUSNYA! hanya di TIKTOK88   • Minimal Deposit Hanya 5K  • 1 ID Untuk Seluruh Game di TIKTOK88  • Deposit Via Pulsa, E-Wallet dan Transfer Bank  • Transaksi Lebih Cepat &amp  Praktis Via QRIS  #Tiktok88 #slotgacor #slotgacorhariini #zonauang https://t.co/CHFzTbpuSD",cari dapetin tiktok minimal id tiktok via pulsa bank transaksi cepat praktis via,neutral,positive
"Keamanan QRIS juga pasti terjamin, karena menggunakan teknologi enkripsi buat melindungi data kita. Udah gitu, kita juga gak perlu khawatir uangnya ngilang, soalnya transaksi yang dilakukan langsung tercatat oleh sistem.",aman jamin teknologi lindung data khawatir uang transaksi catat sistem,positive,positive
"@stuvw_r Hi Kak, Terimakasih telah menghubungi sosial media Kredivo, Selama akun Kak Putra aktif dan memiliki limit yang mencukupi Kakak bisa melakukan transaksi menggunakan metode pembayara Qris, Kakak bisa ikuti langkah-langkah transaksi menggunakan QR sebagai berikut. 1#",terimakasih hubung sosial media akun putra milik cukup kakak transaksi kakak ikut transaksi qr,neutral,positive
"Nah karena dana sudah masuk. Dan fyi admin wa nya nanya saldonya ga dipake transaksi kak?"". Kemudian saya mau top up dana kan, sebelumnya saya nanya soalnya ada tulisan ""deposit pake qris, jika top up e-money maka akun terkunci"". Kata adminnya ""nanti tinggal urus kalau ada(cont) https://t.co/27EY99Y1Xv""",admin nanya dipake transaksi top up nanya tulis pake top up akun urus,negative,positive
@convomfs Kalau gasalah scan qris itu ada yang di potong 20% tiap transaksi buat jasa.   Tapi entah mungkin kalau ada e-wallet yang bisa nyediain scan qris dengan potongan kecil atau bahkan tanpa potongan lain.   Soalnya kasian jualan ambil untung kecil tapi kena potongan juga,potong transaksi jasa nyediain potong potong kasi jual ambil untung potong,neutral,positive
"@boy_seagul Ini tuh kan min 10x transaksi d bni mobile, itu transaksi tf2 gitu keitung juga gasih? Apa cuma isi token listrik, top up gopay, sama bayar qris doang?",transaksi mobile transaksi tf gasih isi token listrik top up bayar doang,neutral,positive
"@convomfs Oiya sekalian di cek ya, temenku blg temennya sering nipu (pura pura udh byar pke qris smpe tunjukkn transaksi palsu) krna yg jual jg gk ngecek dh masuk apa engga",cek temenku blg nipu pura udh byar pke smpe transaksi palsu krna jual ngecek dh,neutral,positive
"sorry oot, kalo mau transaksi pake qris tuh gmn ya caranya #zonauang",transaksi pake,neutral,positive
Rata-rata nilai transaksi QRIS BSI per bulannya mencapai Rp 300 miliar lebih. https://t.co/Bke0DeESYV,nilai transaksi capai rp miliar,neutral,positive
"Aku pake blu buat jajan pake QRIS doang sih, nabung di CIMB. Transaksi pake BCA trs kalo ke bank laen pake flip.   Soalnya flip ora iso pake blu.",pake jajan pake doang nabung transaksi pake trs bank laen pake ora pake,positive,positive
@ferisadnt Kakak dapat gunakan metode pembayaran QRIS yang terdapat pada apliaksi untuk melakukan transaksi pada merchant Solaria. Kakak juga dapat cek detail merchant offline #2,kakak bayar transaksi kakak cek detail,neutral,positive
"Main slot tapi rungkad teruss? Ayo gabung bareng situs paling FYP #TIKTOK88  • Minimal Deposit Hanya 5K   • 1 ID Untuk Seluruh Game di TIKTOK88   • Deposit Via Pulsa, E-Wallet dan Transfer Bank   • Transaksi Lebih Cepat &amp  Praktis Via QRIS   #slotgacorhariini #zonauang #zonaba https://t.co/1xT8QGHE1K",main ayo gabung bareng situs fyp minimal id tiktok via pulsa bank transaksi cepat praktis via,neutral,positive
"Yuk tukarkan poin POWER-mu jadi saldo LinkAja!  Bisa dipakai buat apa aja dari beli pulsa, bayar tagihan hingga transaksi di Merchant QRIS.  Cek informasi lengkap di tautan https://t.co/r3MM46oCHp  Pede #Apa2Bisa  Customer Service LinkAja: Live Chat: https://t.co/di3MsWrn1r https://t.co/xnjqpe3o8s",poin pakai beli pulsa bayar tagih transaksi cek informasi lengkap taut pede service chat,neutral,positive
Cv spay or dana yang bisa pay pake Qris dong #zonauang,pay pake,neutral,positive
@McDonalds_ID Sy mengajukan keluhan mengenai pembayaran double melalui form feedback McD seminggu lalu dimana rekening sy dipotong padahal transaksi Qris gagal dan sekali lagi melalui kartu kredit. Sampai hari ini belum menerima balasan dr McD. Mohon dibantu,keluh bayar mcd mana rekening transaksi gagal kartu kredit terima mcd bantu,neutral,positive
"ada bonus harian buat kamu member paling FYP!  • Minimal Deposit Hanya 5K    • 1 ID Untuk Seluruh Game di #TIKTOK88    • Deposit Via Pulsa, E-Wallet dan Transfer Bank    • Transaksi Lebih Cepat &amp  Praktis Via QRIS   #slotgacorhariini #zonauang #zonaba https://t.co/mPIKwTqpES",bonus hari member fyp minimal id via pulsa bank transaksi cepat praktis via,neutral,positive
"dan khawatir tentang risiko kehilangan uang. .  Transaksi pembayaran dapat dilakukan dengan mudah dan aman melalui metode pembayaran melalui scan qris. .  Sebelumnya ada Museum Al Jabbar yang menerapkan system ini, sekarang Tahura. .  Pemprov Jabar juga akan terus mengembangkan - https://t.co/s9yN2eR971",khawatir risiko hilang uang transaksi bayar mudah aman bayar museum jabar terap system pemprov jabar kembang,positive,positive
"Penawaran spesial buat kamu yang mau bayar apa aja lebih hemat.  Beli paket QRIS UNLIMITED aja di aplikasi Gojek, harga mulai Rp500 bisa dapetin CASHBACK GoPay Coins gak habis-habis tiap transaksi di QRIS pakai GoPay, lho.  S&amp K berlaku, cek https://t.co/Zp0MRyLw49 https://t.co/oXnBYtoLxE",bayar hemat beli paket aplikasi gojek harga rp dapetin transaksi laku cek,neutral,positive
"@moviemenfes Hogward, kl jalan2 bs pake sapu atau bubuk floo, pilihannya banyak. Ada cafe dan toko unyu2. Ada Bank juga, jd bs nabung, kyknya bentar lg ada qris disana. Kl Narnia kemana2 naik kuda atau monster, cafenya g ada yg unyu2. G ada bank.",jalan pake cafe toko bank nabung kyknya bentar sana mana kuda bank,positive,positive
"untung ambil cash kmrn malem, mana uangku di dana semua. dana eror daritadi sore. pas ke bakery trs mau sok sok an bayar pake qris, eh pas buka dana. muterr ae terosss.",untung ambil cash kmrn malem eror sore pas trs sok bayar pake pas buka muter ros,negative,positive
"wow udah kek 4 taun ga ke 3H dkk, sekarang udah bisa pake QRIS 🫶🫶🫶🫶🫶",taun pake,neutral,positive
