Komentar,Sentiment
BSI Beri Cashback Rp 50 Ribu Tiap Transaksi QRIS hingga 21 Mei https://t.co/ORjAUk8a3A,neutral
Promo Kenyang SeaBank 🌟 Cashback 100% 🗓️ 18-31 Mei 2023  • Berlaku untuk seluruh nasabah SeaBank dengan pembayaran menggunakan QRIS SeaBank &amp  Scan QR ShopeePay • Cashback 100% maksimal Rp20.000/transaksi • Maksimal 4x transaksi/pengguna • Kuota promo terbatas https://t.co/ArC177DTz3,neutral
BSI Beri Cashback Rp50 Ribu untuk Transaksi QRIS hingga 21 Mei https://t.co/7DTmwsJAoA,neutral
Transaksi QRIS @bankmandiri meningkat pesat. https://t.co/BFMrG11i8i,neutral
Soal kenapa kalau bayar pakai QRIS suka ditanya dulu itu ada dua hipotesa wa: 1.) merchant ngejar transaksi on-us  2.) bug yang mana kalau transaksinya off-us jadi engga tercatat di aplikasi acquirer yang dipakai,negative
"Lah makin gampang aja ternyata transaksi di Danamon , bisa pake QRis bisa bayar ini ituuu #Danamon #DanamonLawanCemasFinansial  https://t.co/Lwl2vIMvvd",neutral
"Transaksi QRIS juga sudah bisa di Malaysia? Iya dong, pastinya pakai BCA mobile ya supaya semua transaksi #DibikinSimpel! Info selengkapnya https://t.co/XJipX510P9 https://t.co/NNZsJnxASP",neutral
@McDonalds_ID min saya pembayaran via QRIS terdebet dua kali ada dua transaksi 🥲🥲,neutral
@miund Kemarin juga waktu mudik baru sadar ATM expired. Gak bisa urus karena buku tab di rumah dan bank juga tutup pula. Tapi berkat QRIS masih bisa transaksi kesana kemari. 👍👍👍,neutral
Kalau ada transaksi pake qris ini hati-hati ya https://t.co/6H6moRuacK,neutral
Transaksi Qris Bank Mandiri meningkat pesat https://t.co/xhgsDipLqU,neutral
Bank Mandiri mencatat peningkatan signifikan transaksi Qris hingga April 2023 dengan lebih dari 25 juta transaksi https://t.co/1EyMtlknIy,neutral
"sedih bngt masaaa, gua kmrn beli minum di qris tulisannya transaksi gagal trus coba qris lg pake mbanking yg sama trs berhasil. skrg baru cek mutasi ternyata yang kmrn itu 2 2nya berhasil jd bayar double😭😭😭😭 sedih bngtt",negative
Anjrit w gk ska transaksi pke qris bca,negative
"Saat ini, BSI memiliki lebih dari 177 ribu merchant QRIS di seluruh Indonesia yang bisa diakses nasabah untuk kemudahan bertransaksi.""  BSI Berikan Cashback Rp50 Ribu Setiap Transaksi, Begini Caranya https://t.co/cRhkM3N8Yw""",neutral
"@mandiricare  min saya transaksi menggunakan qris, laporan masuk tapi merchant belum kirim barang",neutral
"PT Bank Mandiri (Persero) Tbk (BMRI) menargetkan pertumbuhan transaksi QRIS di atas 150% secara tahunan di tahun 2023. Sebagai bank yang fokus pada perkembangan transaksi, Bank Mandiri ini optimistis bisa mencapaai target tersebut mengingat capaian yg telah diperoleh sebelumnya. https://t.co/A0md0PCNtB",neutral
"@savagerlll Hai Sobat BRI, mohon maaf atas kendala transaksi pembayaran QRIS yang dialami. Guna tindak lanjut, mohon kesediaannya pembuatan laporan melalui aplikasi BRImo versi terbaru dengan memilih menu Akun &gt  Pusat Bantuan &gt  Ajukan Pengaduan atau (1)",neutral
"@savagerlll menghubungi Contact BRI 1500017. Kami informasikan laporan transaksi pembayaran QRIS akan diproses maksimal 14 hari kerja sejak dibuatnya laporan.  Sobat BRI harus tetap waspada, semua akun resmi media sosial BRI sudah ter-Verified ya. Tks~Mikha (2)",neutral
#zonauang ada yang bisa dipinjemin QRIS nya buat transaksi? Sebut fee langsung ya,neutral
"@fahmihusen98 Apabila terdapat kendala, maka mohon utk mencoba kembali secara berkala.  Sebagai informasi, terkait program promo Cashback s.d 50% Transaksi Suka-suka pake QRIS Payment Livin’ by Mandiri dpt juga di cek (2)",neutral
"@kunihng @_gerai Aku gak yakin bisa dibawa ke jalur hukum kak, menurutku tindakan meminjamkan qris ini bisa disebut ilegal karena yg transaksi pada dasarnya bukan si pemilik qris.",negative
Transaksi QRIS Bank Mandiri meningkat pesat https://t.co/Kpng5zgBFK,neutral
Transaksi QRIS Bank Mandiri meningkat pesat https://t.co/GpZrHPgYR9,neutral
"Transaksi Pembayaran QRIS di DANA, Status Transaksi Sukses tapi Uang Tidak Masuk ke Rekening Merchant - https://t.co/hy0q3vMyro CC @danawallet",neutral
@cherry_vios Sangat disayangkan sekali atas kendala yang dialami. Saat ini tidak ada informasi kendala transaksi ya. Mohon kesediaan Bapak/Ibu Pelanggan dapat menginformasikan terlebih dahulu apakah transaksi menggunakan mesin EDC atau QRIS? :) Tks ^Sandra,neutral
@cherry_vios Sangat disayangkan sekali atas kendala yang dialami. Saat ini tidak ada informasi kendala transaksi ya. Mohon kesediaan Bapak/Ibu Pelanggan dapat menginformasikan terlebih dahulu terkait transaksi yang dilakukan tersebut apakah menggunakan mesin EDC atau QRIS? 🙂 Tks ^Sandra,neutral
"@bankmandiri sy ada transaksi qris, statusnya gagal tapi saldo belum kembali. merchantpun tdk menerima dana tsb. sudah 1x24 jam blm refund.",neutral
"yg mau pinjem qris boleh” ajaaa yaa tpi khusus akun ba bukan buat lain”, 500p/transaksi",neutral
"Transaksi QRIS Bank Mandiri Meningkat Pesat. Ini menunjukkan bahwa masyarakat/nasabah Bank Mandiri semakin melek teknologi. Karena sekarang itu eranya digital. Butuh hal yang praktis, mudah dan cepat dalam hal bertransaksi. @YRadianto @Milamariamey @miraclecathy @mulanbilqis https://t.co/SiEn7TB6T8",positive
"@collegemenfess • keterbatasan fasilitas nder, krn gak semua penjual pake andro • blm paham cara pake + penarikan uang dari qris • setiap customer transaksi perlu recheck sama penjual • ribet krn perlu ngambil/narik uang ke atm",neutral
"@SmgMenfess2 bebas biaya admin (akad wadiah), transaksi di ATM dan EDC BCA (bebas biaya), QRIS, bisa topup shopee dan ovo  minusnya cabangnya belum merata di seluruh indonesia sama va bca",neutral
"@KAI121 halo railmin, barusan saya booking tiket majapahit untuk tanggal 19 mei 2023. Transaksi melalui Qris BCA, saldo sudah terdebet tetapi status masih menunggu pembayaran. Bagaimana min? https://t.co/iHgUXM8Td3",neutral
"Wta gaisss kan aku buat qris di dabis yah, cuman belum jadi, blm nongol di profile dabis nya. Tp aku jajal print qris ada file nya di hp, cuman burik bgt kualitasnya. Itu udh bisa dipake belum sih? klo buat transaksi bakal masuk ke rek dabisnya ga yaa? Sfu #zonauang #zonaba",neutral
@secrettgigglee Bapak/Ibu tetap dapat melakukan transaksi transfer menggunakan nomor rekening sebagai rekening tujuan dan transaksi bayar belanja dengan scan QRIS di BCA mobile. 🙂 Tks ^Bram,neutral
Nama fiturnya keren banget QRIS Unlimited ini berarti kalo transaksi pake QRIS saldonya unlimited kan ya gratis https://t.co/VaIo72cyU4,positive
"Makan bareng keluarga di Casa Alba, yuk! Dapatkan dessert dengan minimum transaksi Rp2 juta pakai QRIS di myBCA/BCA mobile/Sakuku, Debit BCA atau Kartu Kredit BCA. Berlaku hingga 13 Juli 2023. Selengkapnya cek https://t.co/mqzxpSHbMK https://t.co/8LYgqOKRte",neutral
"Bank Mandiri mencatat peningkatan yang signifikan hingga April 2023 dimana lebih dari 25 juta transaksi dengan nominal transaksi hampir mencapai Rp 4 triliun dari jumlah total merchant QRIS per April 2023 yang sebanyak 5,7 juta merchant. https://t.co/bWcFBP1Opo",neutral
"Ada beragam cara pembayaran di SPBU bp, bikin transaksi jadi lebih mudah!  Mau bayar cash? Bisa✅ Pakai kartu debit atau kredit? Bisa✅ Pakai e-Wallet? Bisa juga ✅ Kalau scan QRIS? Tentu bisa✅  Langsung mampir ke SPBU bp dan nikmati kemudahan transaksinya!  #TemanPerjalanan https://t.co/6e8yZ0r2Zl",neutral
"Lunch dan Dinner di Inferno the Grill yuk! Dapatkan ekstra dessert dengan minimum transaksi Rp1,5 juta pakai QRIS di myBCA/BCA mobile/Sakuku, Debit BCA atau Kartu Kredit BCA. Berlaku hingga 13 Juli 2023. Selengkapnya cek https://t.co/sL8ScpSig3 https://t.co/JjijuNDcU2",neutral
"@HaloBCA kak kemaren saya transaksi pakai bca mobile dengan qris, saldo sudah terpotong tapi di outlet belum masuk. Itu gimana yaaa kak?",neutral
"sorry pinjem ht #zonauang wta, ada yg make bsi? udah bisa transaksi pake qris belum ya?",neutral
"BI Catat Transaksi QRIS Capai Rp15,35 Triliun per Maret 2023 https://t.co/XCj54fcrxf",neutral
"Nder aku mau nanya.  Jadi aku pengguna salah satu bank daerah, dan aku pake mbanking.  Kemaren malem tiba tiba saldo ku ilang. 2 kali. Pertama 400 ribu. Kedua 42.000. Nah pas aku liat tuh ada riwayat transaksi bayar Qris. Padahal aku enggak merasa melakukan itu. Dan HP ku ga ada",neutral
"QRIS @bankmandiri  terus mengalami kenaikan secara signifikan. Hingga April 2023 ada sekitar 25 juta transaksi, dengan nominal mencapai 4 triliun di 5,7 juta merchant.  Gokilll https://t.co/YN0b9omFA6",neutral
"Bank Mandiri mencatat transaksi dg QRIS meningkat pesat hingga April 2023 dg nominal transaksi hampir RP.4 Trilliun Dari 5,7 juta merchant QRIS. #bankmandiri https://t.co/PunbbCfMvr",neutral
"Tadi temen aku transaksi pake qris, tapi nama qrisnya di hapus gitu sama dia. Cuma ada ID,  nama, sama lokasi merchant, aku drop disini siapa tau ngebantu 😞💔 https://t.co/i7U6jXTPFZ",neutral
"@megyumiw Tadi transaksi pake qris kak, bisa cek tweet aku ya udah aku drop",neutral
@HaloBCA min diriku mau transaksi pake qris kok eror yesss,negative
"@dazlingfox as jastipers war coldplay, jangan pilih yang alibinya “fullpayment” kakk, presentase ketipunya besar banget, kalo transaksi pake bank yg jelas aja (bca/bri/bni/mandiri dll), jangan pernah payment ke ewallets atau qris",neutral
Promo Kenyang SeaBank 🌟 Cashback 100% 🗓️ 18-31 Mei 2023  • Berlaku untuk seluruh nasabah SeaBank dengan pembayaran menggunakan QRIS SeaBank &amp  Scan QR ShopeePay • Cashback 100% maksimal Rp20.000/transaksi • Maksimal 4x transaksi/pengguna • Kuota promo terbatas https://t.co/lucvcVVh3Y,neutral
Cashback 20K di Wingstop utk transaksi dgn QRIS Jago. Min transaksi 100K. Hingga 31 Mei. https://t.co/93MxChjDsJ,neutral
@niddhavemist Akunnya keblokir sementara supaya gak bisa transaksi ke QRIS Scammer.,negative
@McDonalds_ID gimna ini min saya kedebet dua kali penbayaran via qris ada dua transaksi,neutral
"/pamer guys cb di kopken masih ada ya, maksimal 4x transaksi per akun. Cb maks 20k, tadi aku jajan jdnya bener bener free dpt minuman 2, roti 2, sama softcookies 1.Ada notifnya sebelum transaksi kok kalau bakal dpt cb 👌 pastiin pakai QRis spay yaa https://t.co/n81HHnBRTu",neutral
"@Diktadikte Bpk tetap dapat melakukan transaksi dengan mudah yaitu belanja offline via QRIS, belanja online via Debit Virtual dan tarik tunai tanpa kartu melalui Livin dan fitur Livin lainnya dgn cara klik https://t.co/kBTEjD7gIT.(2)",neutral
"Beli buku tetap hemat sampai diskon 20% untuk Min. transaksi Rp150 Ribu di seluruh outlet Gramedia dengan QRIS di myBCA/BCA mobile/Sakuku, Tahapan Xpresi, Flazz, dan Kartu Kredit BCA dan di https://t.co/fsvUHzFMHC menggunakan Kartu Kredit VISA &amp  Mastercard, Kartu Debit… https://t.co/Yo8wDAMPv5",neutral
"Diskon 20% beli buku di Gramedia! Min. transaksi Rp150 Ribu di outlet &amp  https://t.co/CKJKO5ZkYL. Bayar dengan QRIS di myBCA/BCA mobile/Sakuku, Tahapan Xpresi, Flazz, dan Kartu Kredit BCA di outlet sampai 19 Mei 2023. Selengkapnya di https://t.co/JSMEEuWVaI https://t.co/tK23eAJxvj",neutral
"@discountfess Ini gimana si kak promo nya,nnti di kasir minta qris spay trs bayar gt yaa? trs ada minimal belanja gak yaa? trs 1 merchant itu berapa kali transaksi?",neutral
@maemunahbctbgt transaksi pake qris seabank yg discan ke qris spay,neutral
"@cacaVSuniverse @discountfess bayar pake scan qris seabank kakk, jadi nanti dpt cashback 20k tiap transaksi",neutral
@UNSfess_ Nggak. 1 QRIS bisa dipindai semua bank maupun e-wallet manapun. Tapi sekarang emang tiap transaksi dikenakan biaya MDR sebesar 0.7%. Lengkapnya di sini https://t.co/dLnbzgrWXP,neutral
"@discountfess kalau aku pas beli chatime malah ngobrol sama mbak kasirnya. aku juga yg kasi tau pembayaran seabank pakai nya qris spay hwhw trs ngobrolin promo cb brp, brp x transaksi, merchant apa aja. kadang mereka yg kerja gini dan gatau promo, pas tau promo tu mau beli dan coba loh",neutral
"Riwayat transaksi dari mobile banking beeni napa ga informatif sih. Qris ga jelas tokonya apa, transfer ke selain rek beeni gaada nama penerimanya. Kan jadi mikir. 😮‍💨",negative
"Praktis ga pake ribet, transaksi QRIS Bank Mandiri meningkat pesat https://t.co/O6tWKwbsRn",positive
"Belanja di daerah R sebesar 13 ribu, gak dibolehin pake QRIS karena katanya minimal transaksi 20 ribu. Setelah sampai di daerah K, belanja cakwe 10 ribu, alhamdulillah bisa bayar pake QRIS. Apakah memang tiap daerah (atau tiap toko) beda-beda kebijakannya? @bank_indonesia",neutral
@kakbagja @bank_indonesia Bukannya QRIS bisa buat transaksi even di bawah 10k ya?,neutral
"#SobatRupiah, siap bertransaksi dgn mudah saat liburan ke luar negeri? Kehadiran QRIS Antarnegara memang menjanjikan banyak potensi, mulai dari transaksi, hingga soal fasilitasi investasi! Yuk, #BeriMakna dukung upaya BI optimalkan inovasi keuangan digital kita! https://t.co/XMKYMNvbeG",positive
"@Andika15_ Hai Sobat BRI, transaksi QR bisa melalui aplikasi BRImo dengan pilih menu QRIS.  Saat ini tarik tunai tanpa kartu bisa menggunakan aplikasi BRImo di mesin ATM BRI. (1)",neutral
PT @bankmandiri (Persero) Tbk (BMRI) menargetkan pertumbuhan transaksi QRIS di atas 150% secara tahunan di tahun 2023. https://t.co/XaFfRBIe9p,neutral
"@kakbagja Hai, #SobatRupiah. Bank Indonesia tidak mengatur minimum transaksi QRIS ya Sobat, terkait hal tersebut kamu dapat berkoordinasi dengan pihak Penyedia Jasa Pembayaran (PJP) terkait. (1)",neutral
"@kakbagja Adapun Bank Indoensia mengatur batas maksimal transaksi melalui QRIS sebesar Rp10.000.000,00 (sepuluh juta Rupiah) per transaksi. Semoga informasinya membantu dan semoga transaksimu selalu lancar #PakeQRIS 🙏😉 (2)",neutral
Cara ikutannya gimana sih??🤔 1. Buka aplikasi m-banking atau e-wallet apapun yang ada di HPmu 2. Scan QRIS IPEBI Peduli dan masukkan nominal 1 Rupiah 3. Screenshot bukti transaksi QRIS dan upload pada link https://t.co/YRQmZ5iXxC,neutral
@oner13 (2) Selanjutnya untuk skema &amp  biaya pemrosesan transaksi QRIS ditetapkan oleh bank Indonesia dgn memperhitungkan rekomendasi perwakilan Industri. Adapun skema biaya yang diatur adalah transaksi untuk MDR QRIS reguler adalah 0.7% untuk on dan off us.,neutral
"Jajan di IIMS Surabaya ditraktir Danamon! Nikmati Cashback 100% hingga Rp75,000,- transaksi F&amp B dgn QRIS D-Bank PRO. Promo hanya di IIMS Surabaya 2023, 31 Mei-4 Juni 2023, Grand City Surabaya.   S&amp K berlaku. Info: https://t.co/iYKPi05FhX  #Danamon #IIMS2023 #SaatnyaPegangKendali https://t.co/6mL0NvEe4x",neutral
"Yuk mulai biasakan gunain QRIS dalam setiap transaksi, ternyata ini juga bantu majukan pariwisata ASEAN. #ArsjadRasjid https://t.co/LuVRHt4mbt",neutral
"Pakai QRIS untuk bisa majukan pariwisata Asean, untuk bisa lebih mempermudah transaksi tanpa membawa uang rupiah #ArsjadRasjid https://t.co/ajR08IeqNH",neutral
"@FPJap Halo Kak, untuk mengecek bukti transaksi QRIS yang Kakak lakukan bisa Kakak cek melalui menu SocialFi"" --&gt  ""Transaksi"" --&gt  tekan pada transaksi QRIS yang dipilih.    Terima kasih -AN""",neutral
@mandiricare udah sebulan lebih keluhan saya perihal status pending saat transaksi menggunakan QRIS belum selesai juga kah???,neutral
"Transaksi QRIS on Delivery, Belanja Jadi Makin Praktis di Lazada https://t.co/t5EeWqhVcH via @indoict",neutral
"Transaksi QRIS on Delivery, Belanja Jadi Makin Praktis di Lazada https://t.co/t5EeWqhVcH  @indoict",positive
"Cerita tentang Trisno pemilik bengkel sepeda  dan cafe sekopi. Semenjak dia buka tabungan *BRI Simpedes via BRImo* , Dia mulai merasa lebih pede untuk memulai banyak transaksi yang membantu usahanya.  #Simpedes #Qris #TabunganBRISimpedes #SemuaPakeBRImo #SatuNusaSatuBRImo https://t.co/UqJaF7gFqm",neutral
kayanya mau stop transaksi pakai Qris deh😮‍💨,neutral
"@GoodLifeBCA min kmaren udh buka trus milih kode voucher ini, trus udh transaksi dengan Qris apakah berkesempatan dapat?",neutral
"@amel4zy Ha emang error apa? Aku td cek saldo terus bayar pake qris bisa Kak. Coba lagi dah Kak, emang mau transaksi apa tuh",negative
"@poplinpie misal transaksi kakak via QRIS itu &gt 5jt/bulan, kakak bisa upgrade akun kie level silver"", nah yg silver ini dikenakan biaya dalam semua transaksinya""",neutral
"@addosavansyah @Stakof Hi Kak @addosavansyah, maaf buat kendalanya. Jika transaksi yang Kakak lakukan menggunakan QRIS dari Bank lain, silakan Kakak konfirmasi ke Bank penerbit kartu agar dibantu dibuatkan laporan. Karena saat ini Kakak terhubung di layanan media sosial BNI ya.   Akun resmi Media…",neutral
Nasabah Bank Aceh berkesempatan mendapatkan hadiah hewan qurban 24 ekor Kambing dari Bank Indonesia dan 23 ekor Kambing dari Bank Aceh dengan ketentuan sebagai berikut: 1. Nasabah berdomisili di Aceh. 2. Nasabah melakukan transaksi infak atau sedekah pada QRIS (Bank Aceh) Mesjid,neutral
@swoqqci km prnh egk transaksi ke qris tp ga masuk di dabisnya?? 😔😔,neutral
mau pinjem qris yang fee nya per transaksi ada gaa #zoanuang,neutral
adakah yg ngescan qris gw? kok ada transaksi jam 04.53 ya? dm dong kalo ada,neutral
Promo Kenyang SeaBank 🌟 Cashback 100% 🗓️ 18-31 Mei 2023  • Berlaku untuk seluruh nasabah SeaBank dengan pembayaran menggunakan QRIS SeaBank &amp  Scan QR ShopeePay • Cashback 100% maksimal Rp20.000/transaksi • Maksimal 4x transaksi/pengguna • Kuota promo terbatas  ___ promo https://t.co/HRqipvJD8o,neutral
McDonald’s Cashback 25% dengan menggunakan QRIS blu 🍟 🗓️ Hingga 31 Oktober 2023  • Minimum pembelian Rp25.000 • Maksimal cashback Rp25.000 • Cashback valid untuk 3 kali transaksi/bulan/pengguna blu • Gunakan kode voucher BLUMCD  ___ promo diskon voucher cashback lazada #SUHO https://t.co/d58N2YnSRv,neutral
Ternyata transaksi Qris repot juga kalo status pending. Harus nelp call center bank. Padahal cuman bayar di bawah 50rb. Ya terpaksa di kasir bayar cash. Nelp call center kan jg kena pulsa,negative
"bukannya su’udzon tapi gimana ga curiga cv pake qris 7,5jt? bilangnya dari kakanya tapi ternyata itu transaksi jual beli tiket coldplay. please, kalo mau transaksi apapun yg nominal besar jangan mau pake qris!! #zonauang",negative
"@promo_BRI Kemudahan bisa kamu temukan dengan memakai BRImo mau transaksi apapun, baik transfer, bayar QRIS, VA, Dan banyak lagi bisa sekali tap pakain BRImo #SemuaPakeBRImo #BeRiTenangBiarMenang",neutral
"@fauzanalfi Contoh edc bca, by default ga bisa kartu kredit, musti request pengajuan bla bla bla tetek bengek, itu pun baru diapprove setelah transaksi sekian dan sekian lama, jadi mubazir fitur di edcnya, pasca ada qris, kita ga perlu lagi punya kartu debit bca, dah ga kayak dulu",negative
"@bintangnugroho_ Dengan senang hati kami informasikan Bpk @bintangnugroho_. Setelah nasabah/pengguna QRIS melakukan transaksi, proses yang dilakukan selanjutnya adalah settlement atas transaksi BCA QRIS. Proses settlement dana atas transaksi QRIS Statis dilakukan secara otomatis (1/3) ^Erwan",neutral
"Mau jajan apa dan di mana aja tetep gampang, tinggal scan pakai QRIS di Livin' by Mandiri! Apalagi Cardholders bisa dapetin cashback s/d 50% setiap transaksi QRIS dengan #MandiriKartuKredit.  Promo berlaku hingga 31 Mei 2023. Info: https://t.co/VhgWSVJZv5  #mandiripromo https://t.co/XM9wvyzp60",neutral
@trippydoughnut Sangat disayangkan sekali atas kendalanya. Saat ini kami tidak mendapatkan informasi terkait kendala dalam penggunaan fasilitas tersebut untuk QRIS ya.   Terkait kendala transaksi top up ke merchant Shopee tersebut mohon maaf tidak dapat dibantu proses atau (1/4) ^Zayn,negative
"@koalatidur___ Dengan senang hati kami informasikan Bapak/Ibu Pelanggan. QRIS merupakan metode transaksi menggunakan kode QR berstandar Indonesia yang dikeluarkan oleh Bank Indonesia. Tinggal scan QR, lalu lakukan pembayaran dengan mudah di semua toko/outlet yang sudah berlogo (1/3) ^Anin",neutral
"@koalatidur___ transaksi QRIS untuk tracking pembayaran.  Jika ada hal lain yang ingin ditanyakan, Bapak/Ibu bisa DM/Mention kembali ke Twitter @HaloBCA, WhatsApp Halo BCA 08111500998 atau menghubungi via aplikasi haloBCA. :) Tks (2/2) ^Bram",neutral
@koalatidur___ Notifikasi muncul setelahnya dan terdapat laporan lengkap transaksi QRIS untuk tracking pembayaran. 🙂 Tks ^Bram,neutral
Sering ga sih kalau transaksi pake qris malah error padahal saldo udah kepotong?,negative
"@koalatidur___ Kami informasikan Bapak/Ibu Pelanggan, untuk kelebihan khusus maka tidak ada, pada umumnya sama ya, namun untuk QRIS merupakan metode transaksi menggunakan kode QR berstandar Indonesia yang dikeluarkan oleh Bank Indonesia.  🙂 Tks ^Bram",neutral
Transaksi QRIS on Delivery Lazada Bikin Belanja Makin Praktis https://t.co/kXnQjBmWgq https://t.co/cuHkQ5qaj9,positive
"@xfantasykillerx Hi Kak, utk pertanyaan kamu, aku infoin bahwa mulai Agustus 2021 perubahan nama DANA Bisnis sudah tidak dapat dilakukan. Sbgi Informasi tmbhan Nama bisnis sbgi identitas usaha yang tidak dapat diubah, tidak mempengaruhi pada transaksi QRIS kamu. Thanks -FJ-",neutral
Lazada perkenalkan transaksi QOD dengan QRIS https://t.co/Q07AVXuaUL,neutral
Pake acara gagal transaksi qris hadeh mana saldo kepotong 2x,negative
"@matchacheseeee @worksfess Banyak cashback pembayaran qris, bunga tabungan 3% perbulan dan bisa di set goals nya, bisa tarik tunai cardless. Aku jadiin blu tabungan sih jdi jarang transaksi apa2 dan yg terpenting CS nya gercep kalau nanya sesuatu, dan belum nemu minus nya sih",positive
"#SobatRupiah, hampir empat tahun sejak diluncurkan pada 2019, QRIS memang jadi pilihan tepat yang membuat transaksi jual beli jadi lebih praktis. Terbukti dengan terus meningkatnya jumlah pedagang atau merchant QRIS hingga mencapai 24,9 juta per Februari 2023. https://t.co/oNAr4sAseh",positive
"Berbagai upaya untuk menyelaraskan inovasi dengan keamanan transaksi terus dilakukan Bank Indonesia, salah satunya melalui edukasi dan literasi terkait keamanan transaksi QRIS baik bagi masyarakat maupun pedagang/merchant.",neutral
"Sekarang, bayar ini itu jadi gampang deh! Soalnya kamu bisa manfaatin fitur QRIS Super App Livin' by Mandiri buat transaksi #MandiriKartuKredit.  Yuk, aktifin kredit kamu sekarang. Info lengkap, klik https://t.co/waeAYieVQU  #mandiripromo https://t.co/OPZxul3AUk",neutral
Lazada perkenalkan transaksi QOD dengan QRIS https://t.co/WOSnIg5j2L https://t.co/mcf2j8ncwH,neutral
"Neo mau bagi-bagi hadiah sebelum weekend berakhir di #CuanMeowngguan! 😻😻  Cuss.. langsung transaksi &amp  KLIK LINK https://t.co/3BcrudN16N BUAT ISI FORMULIRNYA!  Wajib ikuti semua caranya ya, Neotizen!  Yuk, ikutan sekarang!  #neobank #BankNeoCommerce #UntungAdaneobank #QRIS https://t.co/erJihyANG6",neutral
Lazada Perkenalkan Opsi Transaksi QRIS on Delivery Buat Belanja Online /via @gizmologi https://t.co/mnS2A9wOCo https://t.co/OCyS86kUym,neutral
Transformasi digital Bank BRI terus merambah di berbagai daerah. Pelaku UMKM pun mulai akrab dengan transaksi nontunai menggunakan QRIS BRI.   #Sindonews #news .https://t.co/gwiUAMaVB8,neutral
Ajang ini menjadi kesempatan bagi UMKM binaan BRI KC Jakarta Pasar Minggu untuk menjual produknya dan melakukan transaksi non-tunai menggunakan QRIS.   #Sindonews #news .https://t.co/8M1kcdQ7JJ,neutral
Lazada Perkenalkan Opsi Transaksi QRIS on Delivery Buat Belanja Online  https://t.co/qM9UQDWECO https://t.co/nvFubTIesK,neutral
"Tolong kepada pihak @BNI  masa iya mau nipu 300k ,mau bayar qris dan topup ewallet tanggal 14 ,transaksi gagal tapi udah kepotong dan sampai sekarang balik tuh saldo ,udah lampirin dokumen,bukti, tapi disuruh nunggu 45 hari ,sehat kah dikira orang ga ada keperluan itu uang",negative
"@Doowijaya Hai Kak @Doowijaya, maaf ya udah buat Kakak gak nyaman. Terkait dengan laporan Kakak tanggal 14 Mei 2023 terdapat 2 transaksi QRIS dan top up DANA. Untuk top up DANA sudah masuk ke rekening penampung ya Kak, sedangkan untuk transaksi QRIS saat ini masih dalam proses dan mimin…",neutral
Ada juga mau bayar pake QRIS minimal 50rb 🤡 padahal transaksi 1000perak aja tetep bisa dan ga ada biaya admin juga…,neutral
"@catholiciouss Halo Bpk/Ibu, apabila sudah terdaftar Livin' by Mandiri dan telah melakukan setoran awal ke rekening minimal Rp 50.000,- namun belum menerima mandiri kartu debit maka tetap dapat melakukan transaksi dengan mudah yaitu belanja offline via QRIS, (1)",neutral
@om_adian Selamat pagi Bapak/Ibu. Berikut limit transaksi QR MERCHANT (QRIS) OCTO Mobile Rp10.000.000/ transaksi dan Rp25.000.000/ hari ya. Terima kasih - Carla,neutral
@SahestiN @BANKBRI_ID emang qris membantu transaksi dimanapun juga,positive
"Gw jadi paham kenapa transaksi qris di rekening yg gw handle punya kantor ini banyak kena refund, soalnya ngerasain sendiri kejadiannya 🥲",neutral
Pembayaran QRIS sudah normal !!  Silahkan yang mau melakukan transaksi sudah bisa bosku !!  Jangan lupa tetap berikan bukti transfer   -terima kasih  #zonauangᅠᅠᅠ,neutral
"LinkAja Indonesia  6 menit  ·  Yuk tukarkan poin POWER-mu jadi saldo LinkAja! Bisa dipakai buat apa aja dari beli pulsa, bayar tagihan hingga transaksi di Merchant QRIS. Cek informasi lengkap di tautan https://t.co/hHuZPF0gxG Pede #Apa2Bisa https://t.co/IuUur8arVx",neutral
"Ternyata kepribadian seseorang bisa di lihat dari cara mereka melakukan transaksi. Untuk kepribadian praktis dan gak ribet, pastinya pembayaran selalu menggunakan QRIS. Setuju gak? https://t.co/c5oZGuHixR",positive
"@RRolls6980648 @ojkindonesia @kemkominfo Hi Kak, maaf ya udh buat kamu kecewa. Terkait transaksi QRIS yang belum berhasil, mohon lampirkan nomor DANA dan email aktif kamu via DM ya. Thanks -IR-",neutral
"Jayavegas menyediakan QRIS untuk memudahkan seluruh member kami dalam mengirim uang deposit.  Transaksi Ewallet Mudah menggunakan QRIS 🤩 Deposit Mudah, Proses Cepat 🥳 Hanya ada di https://t.co/utUCw0RmXC  #depositmudah #depositterlengkap #prosescepat #situsjudionline #Jayavegas https://t.co/5KeP7ZmceC",neutral
"@bayluther135 Mau tahu lebih dalam soal QRIS? Yuk, cek tautan berikut 👉 https://t.co/QG4mV7KJKV. Semoga informasinya membantu, jangan lupa ajak teman-temanmu #PakeQris transaksi makin mudah dan efisien 😊 (5)",neutral
"Kecanggihan teknologi &amp  inovasi yg memudahkan transaksi juga ikut dirasakan Imam Darto. Penyiar radio, komedian, aktor, penulis skenario &amp  presenter ini sempat berbagi cerita soal QRIS yang bikin pembayaran jadi praktis, saat akan membayar zakat.",positive
"Wah, ya udah saya pakai QRIS aja deh biar gampang. Mulai detik itu, saya langsung berpikir, ini luar biasa, transaksi sekarang udah sepraktis ini! - Imam Darto, Pemandu Acara &amp  Penyiar Radio -",positive
