,No,Komentar,Label,Hasil Klasifikasi,Kategori_0,Kategori_1,Kategori_2,TP_0,FP_0,TN_0,FN_0,TP_1,FP_1,TN_1,FN_1,TP_2,FP_2,TN_2,FN_2
302,186,transaksi hindar hit run wajib stock kirim format fix pesan nomor refund kecuali salah seler bayar mengunakan qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
460,187,top money stasiun palmerah nila ribu vending machine mengunakan qris aplikasi tulis transaksi hasil saldo masuk emoney bayarin orang qris biar cepat,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
7613,188,transaksi bayar puskesmas kabupaten mojokerto qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
6622,189,spesifik paywave nama proprietary teknologi mastercard nama paypas contactles arahanya qris transaksi mikro juta rupiah contactles verifikasi pin,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
7356,190,netflix minguan bayar qris huehuehue,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
3929,191,kamrusamad bank indonesia tangung judi daring qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
7555,192,transaksi qris terima,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
829,193,selamat siang bapakibu infromasi detail transaksi qris terima bayar cimb niaga akses link terima lucky,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
1430,194,phm keluh top indomaret sat sedia transaksi bayar mengunakan scan qris indomaret terima pf,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
3537,195,want sel kuota xl akrab sharing gb rewards gb sharing nya gb kuota gb lokal area gb harga al payment qris fastresp,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
5916,196,qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
6218,197,pre pesan merch bts monochrome harga tera foto bersih ina emscargo tac grup pesan testi spaylater scan qris jawa timur,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
1011,198,ayo klok qris bayar,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
5323,199,kemudi qris,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
1776,200,beli tiket masuk ims surabaya danamon qris dbank pro diskon loh cek,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
2762,201,sobat mohon maf kendala transaksi beli qris alami kece dinformasikan nomor lapor direct message,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
4347,202,jajan pinjam uang mh ganti pas ambil uang beli bayar qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
2322,203,suka belanja modal ayo langsung bayar qris danamon,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
1954,204,malmingan bingung ajak gebetan mana ayo nonton konser ims infinite live beli tiket bundle promo spesial diskon ims surabaya danamon qris dbank pro ribu ribu beli tiket spot tiket box,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
3239,205,pengunan qris metode transaksi biaya bayar merchant tingkat manfat qris sehinga biaya merchant diskon rate mdr kena,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
4111,206,asalamualaikum setyomohon maf ketidaknyamanan dialamiapabila kait promo cashback transaksi qris bayar mc donalds tangal oktober minimal rp terima konfirmasi hubung bsi cal,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
4068,207,al qris acount emailpasword go gren masuk mtht pesan direct message,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
7367,208,cv scan qris fast,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
7263,209,gaji bunds ayo cek permatame promo coba topup scan qris df,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
392,210,suka bayar virgo sat belanja alfamidi ayo masuk kembali belanja alfamidi virgo kupon cashback nila total rp transaksi qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
1533,211,sobat transaksi qr aplikasi brimo pilih menu qris sat tarik tunai kartu mengunakan aplikasi brimo mesin atm,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
2984,212,jam transaksi top ribu riwayat nya lau transaksi qris toko hasil kurang riwayat,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
3006,213,informasi biaya laku merchant pemrosesan transaksi qris statis dinamis laku jenis merchant reguler usaha uke usaha tengah ume usaha ube kena biaya,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
4350,214,benar beli bubur jagung abang sedia qris tunai dompet bayar stok uang koin nyebrang,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
2853,215,minimal akun transaksi qris aman,Negatif,Positif,FP,TN,FN,,1,,,,,1,,,,,1
360,216,iya sopir helpernya bayar qris dinamis ngeluarin tiket jugak pindah suroboyo bus,Positif,Negatif,FN,TN,FP,,,,1,,,1,,,1,,
5468,217,next udpate nya disembunyikanhilangkan sat bayar qris malue liat orang belakang,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
257,218,mohon maf ketidaknyamananya rony nasabahpenguna qris transaksi proses setlement transaksi qris proses setlement proses,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
4398,219,bangun nameles medal bayar qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
1182,220,buka cuman hari jam wib qris kecuali transaksi nya jumat tarik dana senin jam wib,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
6619,221,selamat sore leader qris lambang modern sistem bayar digital indonesia usah lokal indonesia qris sunguh karunia alah paytren tutorial scan qr,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
6762,222,bi luncur qris penyelengara qr code indonesia hubung berkat qris transaksi digital indonesia simpel mobile enjoy belanja kartu tinggal scan beres,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
311,223,dagang kota gilir bawa pulang bantu gerobak partai perindo bahagia gerobak perindo lengkap sistem bayar qris sehinga transaksi mudah aman,Positif,Negatif,FN,TN,FP,,,,1,,,1,,,1,,
7288,224,transaksi qris alamat,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
5768,225,langgan bayar bayar qris nya masuk rekening langgan potong notif transaksi hasil,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
1089,226,informasi tambah qris hati transaksi,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
1288,227,brimo transaksi bayar takjil praktis fitur qris bayar zakat fitur donasi thr,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
4636,228,qris bestie rangka dorong luas elektronifikasi transaksi pemda kabupaten purbalinga kpw bi purwokerto kolaborasi bakeuda hukum ekonomi pemkab purbalinga bank jawa pusat bank jawa cabang purbalinga,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
6323,229,tuju bi luncur qr code standard indonesia qris idxchanel bank indonesia bi resmi luncur qr indonesia standard qris sistem bayar bas,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
1961,230,dilewatin beli tiket bundle promo spesial diskon ims surabaya danamon qris dbank pro ribu ribu beli tiket spot tiket box hemat nonton langsung,Positif,Negatif,FN,TN,FP,,,,1,,,1,,,1,,
4044,231,tips bayar qris shopepay praktis aman pasti nama toko terima sesuai transaksi double cek kasir cek nominal bayar informasi lengkap geser kiri,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
7116,232,transaksi aman qris bebasbayar bayar qris emoney linkaja emoney bank daftar klik,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
3593,233,iya benar hemat neotizen belanja baju muslim bersih rumah laundry baju diskon hinga rp ribu bayar qris neobank ayo coba qris neobank,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
1280,234,bayar transaksi qris gampang cashback tarik loh senin,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
1004,235,qris static sulit merchant trace transaksi trace manual baca nomor trxnya qris dinamis mesin edc trx kartu debitc bijak terima qris beda provider kena charge,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
4554,236,dear livin transaksi kopi kenang cambridge medan mengunakan qris livin status nya tunda kurang kopi kenang terima uang nya mohon bantuanya,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
3446,237,al qris acount emailpasword go gren masuk mtht random pesan direct message,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
4467,238,coban bayar kartu debit gagal qris blu,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
5651,239,sedia deposit qris payment bulantogel transaksi mudah qris payment scan barcode qris deposit langsung proses hitung detik,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
5100,240,qris penghargan internasional kait fitur transaksi negara,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
2909,241,sobatblu ngopi ayo spesial payday hemat beli minum favorit fore cofe tinggal bayar qris blu cashback juli,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
4077,242,om simpel mudah rumit bayar qris daerah tinggal om medan,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
4423,243,nes parkir park bayar tunai qris parkir mal nya terima,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
977,244,bayangin bayar tol qris kartu antre kayak mes kerja cepat ntahlah paham teknologi handphone solusi konon reader mesin tap cepat,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
4282,245,gelar isef box bi singung digitalisasi uang pasca pandemik covid gara pandemik transaksi uang mudah qris,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
708,246,pengunan zakat sedekah lazismu diy sedia fasilitas bayar mengunakan qris bayar scan barcode qris tulis nama lazismu diy perhati bayar,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
4814,247,lapor transaksi qris sebit,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
4864,248,qris minim transaksi mnding warung,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
5778,249,hinga september dagang mengunakan qris livin transaksi bayar evi martiani vice president vp bank mandiri area yogyakarta,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
7681,250,likes cherished gabut banget bawain stock qr decoration bungkus prici available qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
1451,251,kali tolak transaksi qris gerai,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
5063,252,rasa bisa qris biar kecatet historynya habis transaksi mana nyocokin recapan bulan,Positif,Negatif,FN,TN,FP,,,,1,,,1,,,1,,
3894,253,bismilah ayo lengkapin infaq qris sisa rp link doku shopepay yatim dhuafa muslim minoritas konfirmasi klik,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
6334,254,zie nya,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
7131,255,bluebird bayar qris gopayaja,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
7607,256,kemarin bayar qris luv mecima nomor rumit,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
227,257,buka senin close sebentar gagal transaksi gara qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
4459,258,tj kartu emoney lainlain kayak krl mrt gotransitnya gojek aplikasi mrt bayar tiket qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
2075,259,kahitna konser ims infinite liveada diskon tiket bundle masuk ims surabaya bayar qris dbank pro beli tiket spot ges,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
4521,260,transaksi qris papua tembus rp,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
4360,261,indomaret bayar qris shope kah,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
3558,262,maf kendala pengunan qris merchant sila kakak konfirmasi merchantnya merchantnya fitur bayar qris mobile banking menu qris moga informasi bantu terima yuna,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
172,263,sat set ora rumit fotokopi bayar qris nomor pungli,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
34,264,hidup jakarta mal gede banget cashles brp tokorestoran terima cashles payment metode bayar qris langsung bayar,Positif,Negatif,FN,TN,FP,,,,1,,,1,,,1,,
6354,265,kuota periode program laku khusus transaksi saku qris merchant saku qris promo laku periode program mei terima tata,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
5302,266,bayar parkir remaja jompo jarang banget pegang tunai butuh tukang parkir qris nya,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
4964,267,maf kendala keluh transaksi qris mobile banking kakak alami mimin cek terus unit kait kakak informasi detail direct message,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
4951,268,tanggal nov transaksi bayar qris seabank scan kurang masuk rek toko tolong cek,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
733,269,oi cek turnitin fast respons bayar qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
6657,270,bi banten sosialisasi qris cfd kota cilegon,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
7362,271,jastag bayar qris aplikasi premium jam malam,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
5980,272,motsku pinjam scan qris biar tarik uang langsung balikin,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
3147,273,helo cashback dbank pro qris transaction agustus kuota program transaksi merchant transaksi masingmasing merchant lewat kuota oleh cashback terima euis,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
1052,274,bayarbayar mah dbank pro aplikasi mobile banking lengkap banget fitur nya fitur qris topup ewalet gampang,Positif,Negatif,FN,TN,FP,,,,1,,,1,,,1,,
1576,275,upaya selaras inovasi aman transaksi bank indonesia salah satu edukasi literasi kait aman transaksi qris masyarakat pedagangmerchant,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
4890,276,helo informasi fitur qris danamon sat transaksi negeri terima euis,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
6908,277,belanja mudah transaksi kontak tangan nobu qris scan qr code kamera handphonemu qr code galeri handphonemu langsung bayar belanjanmu terima bayar aplikasi uang elektronik apa,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
6185,278,ayo sedekah subuh pesantren rupiah bahagia adik santri scan kode qris mudah sedekah rekening donasi bsi peduli yatim,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
3953,279,mantap bayar parkir qris,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
2114,280,transaksi danamon qris dbank pro harga tiket konser ims infinite live concert ribu ribu,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
4424,281,tehe event genshin neo soho bayar nya qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
6186,282,bismilah ayo lengkap infaq subuh qris sisa rp link doku shopepay yatimduafa muslim minoritas konfirmasi klik,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
3267,283,selamat sore eko dinfo keluh direct message kait kendala transaksi qris sat kembali lapor tutup terima carla,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
6891,284,belanja daring shoping bayar qr bayar merchantoutletoko milik qr berbasisberlogo qris quick respons code indonesian standard inti bayar qr code mengunakan qr bayar,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
4436,285,pesan butuh garansi percaya bayar qris fast respons orders klik,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
5336,286,angkot bayar parkir motor habis makan mi ayam pede banget rebu caricari alhasil kang mi ayam uang tf qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
7610,287,ide boros bank mandiri bayar qris motong langsung kartu kredit,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
5670,288,sedia deposit qris payment bulantogel transaksi mudah qris payment scan barcode qris deposit langsung proses hitung detik,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
522,289,wta limit transaksi qris dab terima,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
16,290,sore sabtu bayar qris ganguan masuk terima,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
1166,291,cashbacknya benar habishabis tinggal beli paket qris unlimited aplikasi gojek harga rp loh transaksi qris hemat syarat tentu laku cek informasi lengkap,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
6439,292,bank indonesia potong biaya transaksi qris belibm,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
5421,293,saran bakso kampus qris rek uner bm banget,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
5193,294,habis beli somay senayan pagi qris ngakak lihat struknya somay qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
1953,295,wekend bingung mana pas banget ims infinite live lumayan ketu rizki febian beli tiket promo spesial diskon ims surabaya transaksi danamon qris dbank pro ribu ribu beli tiket nya spot tiket box,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
6809,296,umkm qris brarti lapor keuanganya tata ayo aplikasi akuntansi peluang,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
187,297,dapat diskon ribu transaksi minimal ribu senin rabu promo laku maret tunai kartu debit qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
262,298,tunai king dibrp daerah non tunai gesek kena charge nilai transaksi suruh qris biar kena alam brp daerah,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
4994,299,inovatif banget ajak halway space bikin heboh digital pasar kosambi livin pasar bikin transaksi enteng banget dagang enjoy qris livin merchant,Positif,Negatif,FN,TN,FP,,,,1,,,1,,,1,,
6540,300,wakil presiden armand hartono ceo vincent iswara cmo linkaja edward kili suwignyo sepakat hadir qris dalam penetrasi uang digital masyarakat lengkap,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
7204,301,dapat pack bejo sujamer fre ongkos kirim harga scan barcode qris layar kaca program kontes kdi malam jam mnctv lupa siap gadgetmu,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
2202,302,jackpot banget maen macem promo merchant bayar qris danamon cashback huhu ayo cek nya,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
6909,303,covid transaksi qris meningkattajam,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
2016,304,rizki febrian ims infinite live concert diskon tiket bundle masuk ims surabaya transaksi danamon qris dbank pro ribu ribu beli tiket ots tiket box ayo berangkat,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
7504,305,informasi penguna shopepay transaksi mudah bayar qris shopepay jamin transaksi praktis hemat cashback jumbo loh informasi cek,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
4733,306,minimal kemarin bayar tagih first media qris transaksi gagal coba cek mutasi debit kurang bayar alfamidi mohon bantu minimal,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
4522,307,transaksi qris papua tembus rp,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
3226,308,loh hatrick case top kartu tol transaksi hasil nambah bayar qris mutasi rekening nongol dagang uang masuk bayar telpon pasca bayar debet,Negatif,Positif,FP,TN,FN,,1,,,,,1,,,,,1
6899,309,belanja mudah transaksi kontak tangan nobu qris scan qr code kamera handphonemu qr code galeri handphonemu langsung bayar belanjanmu,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
2423,310,foto ktp ifoa bayar qris,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
5970,311,transaksi qris gagal sado kurang hari solusi,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
6375,312,qris scan asane,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
2908,313,yaudahlah besok nonton bayar qris aja,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
1417,314,minimal transaksi qris mingu mei hinga jumat mei masuk rekening bukti transaksi kotak masuk qris bsi mobile hilang pie iki,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
3281,315,nilai transaksi quick respons indonesian standard qris tunjuk naik penguna tembus rp triliun,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
6813,316,merchant qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
7240,317,biar coba permata scan qris barcodr qris beda mohon tunjuk suhu pamer coba permata terima df,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
2777,318,pilih oke enak tur iso bayar go qris,Positif,Negatif,FN,TN,FP,,,,1,,,1,,,1,,
5249,319,sobat terima antusias promo bank promo laku transaksi mengunakan kartu debit mastercard brimo sila nikmat promo mengunakan fitur qris brimo,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
7667,320,kosongin drive zen clearance sale layout genshin hsr wuwa bawah mari jajan qris available direct message,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
3472,321,al qris acount emailpasword go gren masuk mtht random pesan direct message,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
3651,322,want sel kuota xl akrab sharing gb rewards gb kuota fix gb lokal area gb aktif harga sisa al payment qris fastresp,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
2135,323,warga surabaya wajib banget tiket masuk ims surabaya bayar rupiah periode mei juni qris dbank pro pasti informasi lengkap,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
920,324,iya bilang qris bank bayar langsung,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
2033,325,keren banget kahitna konser ims infinite live diskon loh tiket bundle masuk ims surabaya syarat gampang bayar qris dbank pro ribu ribu beli tiket spot tiket box ayo gaskeun gaes,Positif,Negatif,FN,TN,FP,,,,1,,,1,,,1,,
5668,326,im done kemarin cnya debit hh belanja uniqlo potong saldo transaksi qris temu horor,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
7674,327,want sel lfb ina photocard bts armyzone festa rm jin jhope taehyung jungkok pict bersih est ems tax kpc claim direct message shopepay qris go line malang jawa timur pict cto,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
6510,328,kaji opsi skema bagi beban biaya transaksi tetap mitra bukalapak mengunakan kode,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
387,329,kenal akun transaksi qris langgan joki kena tipu joki ml sbelum joki,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
6558,330,mba newi,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
4000,331,judi daring qris kamrusamad bank indonesia tangung,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
2627,332,bank indonesia bi bebas tarif quick respons code indonesian standard qris transaksi rp ribu,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
1449,333,ayo tukar poin powermu linkaja pakai beli pulsa bayar tagih hinga transaksi merchant qris cek informasi lengkap taut pede langgan layan linkaja live chat,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
7264,334,df chatime harga normal milk tea reg scan qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
2860,335,bayar halte tugas cashqrisgopay cuman halte tugas bayar kenek bus langsung,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
2159,336,enga jogjasolo krlnya murah ngegrab promo grabhemat solo bst bayar qris,Positif,Negatif,FN,TN,FP,,,,1,,,1,,,1,,
836,337,cari netflix hari bayar qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
1303,338,ahaha numpang digital cardnya user dulunya transaksi jago qris debit card nya oke pakai fitur shared pocketnya cocok banget pasutri biar transparan,Positif,Negatif,FN,TN,FP,,,,1,,,1,,,1,,
6742,339,dorong implementasi qris ekosistem didik,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
1679,340,maf bingung transaksi nya aplikasi mcd langsung store bayar scan qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
4419,341,indomar qris bayar,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
3668,342,emoney qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
864,343,qris merchantoko koneksi beli baju sadar dompet ketingalan pas bayar qris tolak,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
4806,344,rekening tuju transaksi bayar belanja scan qris mobile dmention twiter whatsap hubung aplikasi halobca hira,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
6174,345,handphone qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
3152,346,bukti bohong hati transaksi nominal qris,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
1751,347,ketemu dagang bayar qris kena tambah rupiah gp bu mesti bayar tunai mulu,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
7378,348,spo premium bayar qris balas cepat,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
1263,349,transaksi nontunai mengunakan qris bantu umkm kelas ketua kadin,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
7537,350,tambah diskon cf perfumery qris minimal transaksi idr jt hinga,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
6344,351,kedu nna,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
3214,352,minimal coba bayar qris gagal minimal uang minimal riwayat transaksi minimal sukses tepotong nya minimal,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
6304,353,one time password langsung yu disney shar basic shar premium fulgar testi bery al walet qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
5428,354,telkomsel bapuk sinyal bikin skck loading nya banget jajan qris error enak mbak nya antre,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
563,355,selamat sore mohon maf butuh detail transaksi bayar tera tangal kode rnnomor referensi bayar mengunakan qris kece bukti bayar,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
1740,356,bonus hari member fyp minimal deposit id game deposit pulsa ewalet bank transaksi cepat praktis qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
7596,357,gilir gabawa tunai beli bayar qris hadeh,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
741,358,coba scan qris nya indomaret scan barcode,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
5029,359,minimal qris bank sblmnya transaksi masuk pelanganya potong lapor tindaklanjutnya ujung nya masuk,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
5402,360,qris jasa akun bisnis cv mudah korban transfer transfer akun bisnis mnya obviously korbanya pikir akun bisnis kerja mnya transfer,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
1814,361,buset rizki febrian cuy ims infinite live diskon tiket bundle masuk ims surabaya banvet transaksi danamon qris dbank pro ribu ribu beli tiket spot tiket box gas banget mah,Positif,Negatif,FN,TN,FP,,,,1,,,1,,,1,,
1886,362,kahitna rizky febian konser ims infinite live ayo nonton bareng teman diskon tiket bundle promo danamon qris dbank pro,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
4235,363,benar transaksi mengunakan qris beban biaya merchant raka,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
1073,364,god fod god mod diskon ribu jumat minimum transaksi rp juta qris mobilemybcasakuku kartu kredit card platinum everyday card jcb black union bayar lengkap,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
7089,365,kota bogor bayar pajak qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
5890,366,sobat kartu kredit milik corporate card cobranding card traveloka paylater kartu emas gadai btn gold btn paltinum tokopedia card jadi sumber transaksi qris brimo sila aktif,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
1058,367,jarang bawa tunai mana makan tinggal bayar qris untung dbank pro mobile fitur nya beli token listriktopup ewalet buka reksadana,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
7005,368,ayo hidup cashles qris quick respons code indonesian standard transaksi mudah mengunakan aplikasi spin smart payment indonesia bayar digital lai beli produk langsung iklan tv,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
